Class,Name,Domain Bucket
Itemtype,https://schema.org/3DModel,< 1K
Itemtype,https://schema.org/AMRadioChannel,< 1K
Itemtype,https://schema.org/APIReference,1K - 10K
Itemtype,https://schema.org/AboutPage,1M - 10M
Itemtype,https://schema.org/AcceptAction,< 1K
Itemtype,https://schema.org/Accommodation,10K - 100K
Itemtype,https://schema.org/AccountingService,10K - 100K
Itemtype,https://schema.org/AchieveAction,< 1K
Itemtype,https://schema.org/Action,10K - 100K
Itemtype,https://schema.org/ActionAccessSpecification,< 1K
Itemtype,https://schema.org/ActionStatusType,< 1K
Itemtype,https://schema.org/ActivateAction,< 1K
Itemtype,https://schema.org/AddAction,< 1K
Itemtype,https://schema.org/AdministrativeArea,100K - 1M
Itemtype,https://schema.org/AdultEntertainment,1K - 10K
Itemtype,https://schema.org/AdultOrientedEnumeration,< 1K
Itemtype,https://schema.org/AdvertiserContentArticle,1K - 10K
Itemtype,https://schema.org/AggregateOffer,1M - 10M
Itemtype,https://schema.org/AggregateRating,1M - 10M
Itemtype,https://schema.org/AgreeAction,< 1K
Itemtype,https://schema.org/Airline,1K - 10K
Itemtype,https://schema.org/Airport,1K - 10K
Itemtype,https://schema.org/AlignmentObject,1K - 10K
Itemtype,https://schema.org/AllocateAction,< 1K
Itemtype,https://schema.org/AmpStory,< 1K
Itemtype,https://schema.org/AmusementPark,1K - 10K
Itemtype,https://schema.org/AnalysisNewsArticle,1K - 10K
Itemtype,https://schema.org/AnatomicalStructure,1K - 10K
Itemtype,https://schema.org/AnatomicalSystem,< 1K
Itemtype,https://schema.org/AnimalShelter,1K - 10K
Itemtype,https://schema.org/Answer,1M - 10M
Itemtype,https://schema.org/Apartment,10K - 100K
Itemtype,https://schema.org/ApartmentComplex,10K - 100K
Itemtype,https://schema.org/AppendAction,< 1K
Itemtype,https://schema.org/ApplyAction,1K - 10K
Itemtype,https://schema.org/ApprovedIndication,< 1K
Itemtype,https://schema.org/Aquarium,< 1K
Itemtype,https://schema.org/ArchiveComponent,< 1K
Itemtype,https://schema.org/ArchiveOrganization,1K - 10K
Itemtype,https://schema.org/ArriveAction,< 1K
Itemtype,https://schema.org/ArtGallery,1K - 10K
Itemtype,https://schema.org/Artery,< 1K
Itemtype,https://schema.org/Article,10M+
Itemtype,https://schema.org/AskAction,1K - 10K
Itemtype,https://schema.org/AskPublicNewsArticle,< 1K
Itemtype,https://schema.org/AssessAction,< 1K
Itemtype,https://schema.org/AssignAction,< 1K
Itemtype,https://schema.org/Atlas,< 1K
Itemtype,https://schema.org/Attorney,10K - 100K
Itemtype,https://schema.org/Audience,100K - 1M
Itemtype,https://schema.org/AudioObject,10K - 100K
Itemtype,https://schema.org/AudioObjectSnapshot,< 1K
Itemtype,https://schema.org/Audiobook,< 1K
Itemtype,https://schema.org/AuthenticateAction,< 1K
Itemtype,https://schema.org/AuthorizeAction,< 1K
Itemtype,https://schema.org/AutoBodyShop,1K - 10K
Itemtype,https://schema.org/AutoDealer,10K - 100K
Itemtype,https://schema.org/AutoPartsStore,10K - 100K
Itemtype,https://schema.org/AutoRental,10K - 100K
Itemtype,https://schema.org/AutoRepair,10K - 100K
