"id","label","comment","subPropertyOf","equivalentProperty","subproperties","domainIncludes","rangeIncludes","inverseOf","supersedes","supersededBy","isPartOf"
"http://schema.org/about","about","The subject matter of the content.","","","http://schema.org/mainEntity","http://schema.org/CommunicateAction, http://schema.org/CreativeWork, http://schema.org/Event","http://schema.org/Thing","http://schema.org/subjectOf","","",""
"http://schema.org/abridged","abridged","Indicates whether the book is an abridged edition.","","","","http://schema.org/Book","http://schema.org/Boolean","","","","http://bib.schema.org"
"http://schema.org/abstract","abstract","An abstract is a short description that summarizes a <a class=""localLink"" href=""/CreativeWork"">CreativeWork</a>.","","","","http://schema.org/CreativeWork","http://schema.org/Text","","","","http://pending.schema.org"
"http://schema.org/accelerationTime","accelerationTime","The time needed to accelerate the vehicle from a given start velocity to a given target velocity.<br/><br/>

Typical unit code(s): SEC for seconds<br/><br/>

<ul>
<li>Note: There are unfortunately no standard unit codes for seconds/0..100 km/h or seconds/0..60 mph. Simply use ""SEC"" for seconds and indicate the velocities in the <a class=""localLink"" href=""/name"">name</a> of the <a class=""localLink"" href=""/QuantitativeValue"">QuantitativeValue</a>, or use <a class=""localLink"" href=""/valueReference"">valueReference</a> with a <a class=""localLink"" href=""/QuantitativeValue"">QuantitativeValue</a> of 0..60 mph or 0..100 km/h to specify the reference speeds.</li>
</ul>","","","","http://schema.org/Vehicle","http://schema.org/QuantitativeValue","","","","http://auto.schema.org"
"http://schema.org/acceptedAnswer","acceptedAnswer","The answer(s) that has been accepted as best, typically on a Question/Answer site. Sites vary in their selection mechanisms, e.g. drawing on community opinion and/or the view of the Question author.","http://schema.org/suggestedAnswer","","","http://schema.org/Question","http://schema.org/Answer, http://schema.org/ItemList","","","",""
"http://schema.org/acceptedOffer","acceptedOffer","The offer(s) -- e.g., product, quantity and price combinations -- included in the order.","","","","http://schema.org/Order","http://schema.org/Offer","","","",""
"http://schema.org/acceptedPaymentMethod","acceptedPaymentMethod","The payment method(s) accepted by seller for this offer.","","","","http://schema.org/Demand, http://schema.org/Offer","http://schema.org/LoanOrCredit, http://schema.org/PaymentMethod","","","",""
"http://schema.org/acceptsReservations","acceptsReservations","Indicates whether a FoodEstablishment accepts reservations. Values can be Boolean, an URL at which reservations can be made or (for backwards compatibility) the strings <code>Yes</code> or <code>No</code>.","","","","http://schema.org/FoodEstablishment","http://schema.org/Boolean, http://schema.org/Text, http://schema.org/URL","","","",""
"http://schema.org/accessCode","accessCode","Password, PIN, or access code needed for delivery (e.g. from a locker).","","","","http://schema.org/DeliveryEvent","http://schema.org/Text","","","",""
"http://schema.org/accessMode","accessMode","The human sensory perceptual system or cognitive faculty through which a person may process or perceive information. Values should be drawn from the <a href=""https://www.w3.org/2021/a11y-discov-vocab/latest/#accessMode-vocabulary"">approved vocabulary</a>.","","","","http://schema.org/CreativeWork","http://schema.org/Text","","","",""
