"id","label","comment","subPropertyOf","equivalentProperty","subproperties","domainIncludes","rangeIncludes","inversOf","supersedes","supersededBy","isPartOf"
"http://schema.org/abridged","abridged","Indicates whether the book is an abridged edition.","","","","http://schema.org/Book","http://schema.org/Boolean","","",""
"http://schema.org/artist","artist","The primary artist for a work
    in a medium other than pencils or digital line art--for example, if the
    primary artwork is done in watercolors or digital paints.","","","","http://schema.org/ComicIssue, http://schema.org/ComicStory, http://schema.org/VisualArtwork","http://schema.org/Person","","",""
"http://schema.org/colorist","colorist","The individual who adds color to inked drawings.","","","","http://schema.org/ComicIssue, http://schema.org/ComicStory, http://schema.org/VisualArtwork","http://schema.org/Person","","",""
"http://schema.org/inSupportOf","inSupportOf","Qualification, candidature, degree, application that Thesis supports.","","","","http://schema.org/Thesis","http://schema.org/Text","","",""
"http://schema.org/inker","inker","The individual who traces over the pencil drawings in ink after pencils are complete.","","","","http://schema.org/ComicIssue, http://schema.org/ComicStory, http://schema.org/VisualArtwork","http://schema.org/Person","","",""
"http://schema.org/letterer","letterer","The individual who adds lettering, including speech balloons and sound effects, to artwork.","","","","http://schema.org/ComicIssue, http://schema.org/ComicStory, http://schema.org/VisualArtwork","http://schema.org/Person","","",""
"http://schema.org/penciler","penciler","The individual who draws the primary narrative artwork.","","","","http://schema.org/ComicIssue, http://schema.org/ComicStory, http://schema.org/VisualArtwork","http://schema.org/Person","","",""
"http://schema.org/publishedBy","publishedBy","An agent associated with the publication event.","","","","http://schema.org/PublicationEvent","http://schema.org/Organization, http://schema.org/Person","","",""
"http://schema.org/publisherImprint","publisherImprint","The publishing division which published the comic.","","","","http://schema.org/CreativeWork","http://schema.org/Organization","","",""
"http://schema.org/readBy","readBy","A person who reads (performs) the audiobook.","http://schema.org/actor","","","http://schema.org/Audiobook","http://schema.org/Person","","",""
"http://schema.org/translationOfWork","translationOfWork","The work that this work has been translated from. e.g. 物种起源 is a translationOf “On the Origin of Species”","","","","http://schema.org/CreativeWork","http://schema.org/CreativeWork","http://schema.org/workTranslation","",""
"http://schema.org/variantCover","variantCover","A description of the variant cover
    for the issue, if the issue is a variant printing. For example, ""Bryan Hitch
    Variant Cover"" or ""2nd Printing Variant"".","","","","http://schema.org/ComicIssue","http://schema.org/Text","","",""
"http://schema.org/workTranslation","workTranslation","A work that is a translation of the content of this work. e.g. 西遊記 has an English workTranslation “Journey to the West”,a German workTranslation “Monkeys Pilgerfahrt” and a Vietnamese  translation Tây du ký bình khảo.","","","","http://schema.org/CreativeWork","http://schema.org/CreativeWork","http://schema.org/translationOfWork","",""
