"id","label","comment","subTypeOf","equivalentClass","properties","subTypes","supersedes","supersededBy","isPartOf"
"http://schema.org/AnatomicalStructure","AnatomicalStructure","Any part of the human body, typically a component of an anatomical system. Organs, tissues, and cells are all anatomical structures.","http://schema.org/MedicalEntity","","http://schema.org/additionalType, http://schema.org/alternateName, http://schema.org/associatedPathophysiology, http://schema.org/bodyLocation, http://schema.org/code, http://schema.org/connectedTo, http://schema.org/description, http://schema.org/diagram, http://schema.org/disambiguatingDescription, http://schema.org/function, http://schema.org/guideline, http://schema.org/identifier, http://schema.org/image, http://schema.org/legalStatus, http://schema.org/mainEntityOfPage, http://schema.org/medicineSystem, http://schema.org/name, http://schema.org/partOfSystem, http://schema.org/potentialAction, http://schema.org/recognizingAuthority, http://schema.org/relatedCondition, http://schema.org/relatedTherapy, http://schema.org/relevantSpecialty, http://schema.org/sameAs, http://schema.org/study, http://schema.org/subStructure, http://schema.org/url","http://schema.org/Bone, http://schema.org/BrainStructure, http://schema.org/Joint, http://schema.org/Ligament, http://schema.org/Muscle, http://schema.org/Nerve, http://schema.org/Vessel","","","http://health-lifesci.schema.org"
"http://schema.org/AnatomicalSystem","AnatomicalSystem","An anatomical system is a group of anatomical structures that work together to perform a certain task. Anatomical systems, such as organ systems, are one organizing principle of anatomy, and can includes circulatory, digestive, endocrine, integumentary, immune, lymphatic, muscular, nervous, reproductive, respiratory, skeletal, urinary, vestibular, and other systems.","http://schema.org/MedicalEntity","","http://schema.org/additionalType, http://schema.org/alternateName, http://schema.org/associatedPathophysiology, http://schema.org/code, http://schema.org/comprisedOf, http://schema.org/description, http://schema.org/disambiguatingDescription, http://schema.org/guideline, http://schema.org/identifier, http://schema.org/image, http://schema.org/legalStatus, http://schema.org/mainEntityOfPage, http://schema.org/medicineSystem, http://schema.org/name, http://schema.org/potentialAction, http://schema.org/recognizingAuthority, http://schema.org/relatedCondition, http://schema.org/relatedStructure, http://schema.org/relatedTherapy, http://schema.org/relevantSpecialty, http://schema.org/sameAs, http://schema.org/study, http://schema.org/url","","","","http://health-lifesci.schema.org"
"http://schema.org/ApprovedIndication","ApprovedIndication","An indication for a medical therapy that has been formally specified or approved by a regulatory body that regulates use of the therapy; for example, the US FDA approves indications for most drugs in the US.","http://schema.org/MedicalIndication","","http://schema.org/additionalType, http://schema.org/alternateName, http://schema.org/code, http://schema.org/description, http://schema.org/disambiguatingDescription, http://schema.org/guideline, http://schema.org/identifier, http://schema.org/image, http://schema.org/legalStatus, http://schema.org/mainEntityOfPage, http://schema.org/medicineSystem, http://schema.org/name, http://schema.org/potentialAction, http://schema.org/recognizingAuthority, http://schema.org/relevantSpecialty, http://schema.org/sameAs, http://schema.org/study, http://schema.org/url","","","","http://health-lifesci.schema.org"
"http://schema.org/Artery","Artery","A type of blood vessel that specifically carries blood away from the heart.","http://schema.org/Vessel","http://purl.bioontology.org/ontology/SNOMEDCT/51114001","http://schema.org/additionalType, http://schema.org/alternateName, http://schema.org/arterialBranch, http://schema.org/associatedPathophysiology, http://schema.org/bodyLocation, http://schema.org/code, http://schema.org/connectedTo, http://schema.org/description, http://schema.org/diagram, http://schema.org/disambiguatingDescription, http://schema.org/function, http://schema.org/guideline, http://schema.org/identifier, http://schema.org/image, http://schema.org/legalStatus, http://schema.org/mainEntityOfPage, http://schema.org/medicineSystem, http://schema.org/name, http://schema.org/partOfSystem, http://schema.org/potentialAction, http://schema.org/recognizingAuthority, http://schema.org/relatedCondition, http://schema.org/relatedTherapy, http://schema.org/relevantSpecialty, http://schema.org/sameAs, http://schema.org/source, http://schema.org/study, http://schema.org/subStructure, http://schema.org/supplyTo, http://schema.org/url","","","","http://health-lifesci.schema.org"
"http://schema.org/BloodTest","BloodTest","A medical test performed on a sample of a patient's blood.","http://schema.org/MedicalTest","","http://schema.org/additionalType, http://schema.org/affectedBy, http://schema.org/alternateName, http://schema.org/code, http://schema.org/description, http://schema.org/disambiguatingDescription, http://schema.org/guideline, http://schema.org/identifier, http://schema.org/image, http://schema.org/legalStatus, http://schema.org/mainEntityOfPage, http://schema.org/medicineSystem, http://schema.org/name, http://schema.org/normalRange, http://schema.org/potentialAction, http://schema.org/recognizingAuthority, http://schema.org/relevantSpecialty, http://schema.org/sameAs, http://schema.org/signDetected, http://schema.org/study, http://schema.org/url, http://schema.org/usedToDiagnose, http://schema.org/usesDevice","","","","http://health-lifesci.schema.org"
"http://schema.org/Bone","Bone","Rigid connective tissue that comprises up the skeletal structure of the human body.","http://schema.org/AnatomicalStructure","","http://schema.org/additionalType, http://schema.org/alternateName, http://schema.org/associatedPathophysiology, http://schema.org/bodyLocation, http://schema.org/code, http://schema.org/connectedTo, http://schema.org/description, http://schema.org/diagram, http://schema.org/disambiguatingDescription, http://schema.org/function, http://schema.org/guideline, http://schema.org/identifier, http://schema.org/image, http://schema.org/legalStatus, http://schema.org/mainEntityOfPage, http://schema.org/medicineSystem, http://schema.org/name, http://schema.org/partOfSystem, http://schema.org/potentialAction, http://schema.org/recognizingAuthority, http://schema.org/relatedCondition, http://schema.org/relatedTherapy, http://schema.org/relevantSpecialty, http://schema.org/sameAs, http://schema.org/study, http://schema.org/subStructure, http://schema.org/url","","","","http://health-lifesci.schema.org"
"http://schema.org/BrainStructure","BrainStructure","Any anatomical structure which pertains to the soft nervous tissue functioning as the coordinating center of sensation and intellectual and nervous activity.","http://schema.org/AnatomicalStructure","","http://schema.org/additionalType, http://schema.org/alternateName, http://schema.org/associatedPathophysiology, http://schema.org/bodyLocation, http://schema.org/code, http://schema.org/connectedTo, http://schema.org/description, http://schema.org/diagram, http://schema.org/disambiguatingDescription, http://schema.org/function, http://schema.org/guideline, http://schema.org/identifier, http://schema.org/image, http://schema.org/legalStatus, http://schema.org/mainEntityOfPage, http://schema.org/medicineSystem, http://schema.org/name, http://schema.org/partOfSystem, http://schema.org/potentialAction, http://schema.org/recognizingAuthority, http://schema.org/relatedCondition, http://schema.org/relatedTherapy, http://schema.org/relevantSpecialty, http://schema.org/sameAs, http://schema.org/study, http://schema.org/subStructure, http://schema.org/url","","","","http://health-lifesci.schema.org"
"http://schema.org/DDxElement","DDxElement","An alternative, closely-related condition typically considered later in the differential diagnosis process along with the signs that are used to distinguish it.","http://schema.org/MedicalIntangible","","http://schema.org/additionalType, http://schema.org/alternateName, http://schema.org/code, http://schema.org/description, http://schema.org/diagnosis, http://schema.org/disambiguatingDescription, http://schema.org/distinguishingSign, http://schema.org/guideline, http://schema.org/identifier, http://schema.org/image, http://schema.org/legalStatus, http://schema.org/mainEntityOfPage, http://schema.org/medicineSystem, http://schema.org/name, http://schema.org/potentialAction, http://schema.org/recognizingAuthority, http://schema.org/relevantSpecialty, http://schema.org/sameAs, http://schema.org/study, http://schema.org/url","","","","http://health-lifesci.schema.org"
"http://schema.org/Dentist","","A dentist.","http://schema.org/LocalBusiness, http://schema.org/MedicalBusiness, http://schema.org/MedicalOrganization","","http://schema.org/additionalProperty, http://schema.org/additionalType, http://schema.org/address, http://schema.org/address, http://schema.org/aggregateRating, http://schema.org/aggregateRating, http://schema.org/alternateName, http://schema.org/alumni, http://schema.org/amenityFeature, http://schema.org/areaServed, http://schema.org/award, http://schema.org/awards, http://schema.org/branchCode, http://schema.org/branchOf, http://schema.org/brand, http://schema.org/contactPoint, http://schema.org/contactPoints, http://schema.org/containedIn, http://schema.org/containedInPlace, http://schema.org/containsPlace, http://schema.org/currenciesAccepted, http://schema.org/department, http://schema.org/description, http://schema.org/disambiguatingDescription, http://schema.org/dissolutionDate, http://schema.org/duns, http://schema.org/email, http://schema.org/employee, http://schema.org/employees, http://schema.org/event, http://schema.org/event, http://schema.org/events, http://schema.org/events, http://schema.org/faxNumber, http://schema.org/faxNumber, http://schema.org/founder, http://schema.org/founders, http://schema.org/foundingDate, http://schema.org/foundingLocation, http://schema.org/funder, http://schema.org/geo, http://schema.org/geospatiallyContains, http://schema.org/geospatiallyCoveredBy, http://schema.org/geospatiallyCovers, http://schema.org/geospatiallyCrosses, http://schema.org/geospatiallyDisjoint, http://schema.org/geospatiallyEquals, http://schema.org/geospatiallyIntersects, http://schema.org/geospatiallyOverlaps, http://schema.org/geospatiallyTouches, http://schema.org/geospatiallyWithin, http://schema.org/globalLocationNumber, http://schema.org/globalLocationNumber, http://schema.org/hasMap, http://schema.org/hasOfferCatalog, http://schema.org/hasPOS, http://schema.org/healthPlanNetworkId, http://schema.org/identifier, http://schema.org/image, http://schema.org/isAcceptingNewPatients, http://schema.org/isicV4, http://schema.org/isicV4, http://schema.org/legalName, http://schema.org/leiCode, http://schema.org/location, http://schema.org/logo, http://schema.org/logo, http://schema.org/mainEntityOfPage, http://schema.org/makesOffer, http://schema.org/map, http://schema.org/maps, http://schema.org/maximumAttendeeCapacity, http://schema.org/medicalSpecialty, http://schema.org/member, http://schema.org/memberOf, http://schema.org/members, http://schema.org/naics, http://schema.org/name, http://schema.org/numberOfEmployees, http://schema.org/openingHours, http://schema.org/openingHoursSpecification, http://schema.org/owns, http://schema.org/parentOrganization, http://schema.org/paymentAccepted, http://schema.org/photo, http://schema.org/photos, http://schema.org/potentialAction, http://schema.org/priceRange, http://schema.org/review, http://schema.org/review, http://schema.org/reviews, http://schema.org/reviews, http://schema.org/sameAs, http://schema.org/seeks, http://schema.org/serviceArea, http://schema.org/smokingAllowed, http://schema.org/specialOpeningHoursSpecification, http://schema.org/sponsor, http://schema.org/subOrganization, http://schema.org/taxID, http://schema.org/telephone, http://schema.org/telephone, http://schema.org/url, http://schema.org/vatID","","","",""
"http://schema.org/DiagnosticLab","DiagnosticLab","A medical laboratory that offers on-site or off-site diagnostic services.","http://schema.org/MedicalOrganization","","http://schema.org/additionalType, http://schema.org/address, http://schema.org/aggregateRating, http://schema.org/alternateName, http://schema.org/alumni, http://schema.org/areaServed, http://schema.org/availableTest, http://schema.org/award, http://schema.org/awards, http://schema.org/brand, http://schema.org/contactPoint, http://schema.org/contactPoints, http://schema.org/department, http://schema.org/description, http://schema.org/disambiguatingDescription, http://schema.org/dissolutionDate, http://schema.org/duns, http://schema.org/email, http://schema.org/employee, http://schema.org/employees, http://schema.org/event, http://schema.org/events, http://schema.org/faxNumber, http://schema.org/founder, http://schema.org/founders, http://schema.org/foundingDate, http://schema.org/foundingLocation, http://schema.org/funder, http://schema.org/globalLocationNumber, http://schema.org/hasOfferCatalog, http://schema.org/hasPOS, http://schema.org/healthPlanNetworkId, http://schema.org/identifier, http://schema.org/image, http://schema.org/isAcceptingNewPatients, http://schema.org/isicV4, http://schema.org/legalName, http://schema.org/leiCode, http://schema.org/location, http://schema.org/logo, http://schema.org/mainEntityOfPage, http://schema.org/makesOffer, http://schema.org/medicalSpecialty, http://schema.org/member, http://schema.org/memberOf, http://schema.org/members, http://schema.org/naics, http://schema.org/name, http://schema.org/numberOfEmployees, http://schema.org/owns, http://schema.org/parentOrganization, http://schema.org/potentialAction, http://schema.org/review, http://schema.org/reviews, http://schema.org/sameAs, http://schema.org/seeks, http://schema.org/serviceArea, http://schema.org/sponsor, http://schema.org/subOrganization, http://schema.org/taxID, http://schema.org/telephone, http://schema.org/url, http://schema.org/vatID","","","","http://health-lifesci.schema.org"
