"id","label","comment","subTypeOf","equivalentClass","properties","subTypes","supersedes","supersededBy","isPartOf"
"http://schema.org/AMRadioChannel","AMRadioChannel","A radio channel that uses AM.","http://schema.org/RadioChannel","","http://schema.org/additionalType, http://schema.org/alternateName, http://schema.org/broadcastChannelId, http://schema.org/broadcastFrequency, http://schema.org/broadcastServiceTier, http://schema.org/description, http://schema.org/disambiguatingDescription, http://schema.org/genre, http://schema.org/identifier, http://schema.org/image, http://schema.org/inBroadcastLineup, http://schema.org/mainEntityOfPage, http://schema.org/name, http://schema.org/potentialAction, http://schema.org/providesBroadcastService, http://schema.org/sameAs, http://schema.org/url","","","","http://pending.schema.org"
"http://schema.org/BedType","BedType","A type of bed. This is used for indicating the bed or beds available in an accommodation.","http://schema.org/QualitativeValue","","http://schema.org/additionalProperty, http://schema.org/additionalType, http://schema.org/alternateName, http://schema.org/description, http://schema.org/disambiguatingDescription, http://schema.org/equal, http://schema.org/greater, http://schema.org/greaterOrEqual, http://schema.org/identifier, http://schema.org/image, http://schema.org/lesser, http://schema.org/lesserOrEqual, http://schema.org/mainEntityOfPage, http://schema.org/name, http://schema.org/nonEqual, http://schema.org/potentialAction, http://schema.org/sameAs, http://schema.org/supersededBy, http://schema.org/url, http://schema.org/valueReference","","","","http://pending.schema.org"
"http://schema.org/BroadcastFrequencySpecification","BroadcastFrequencySpecification","The frequency in MHz and the modulation used for a particular BroadcastService.","http://schema.org/Intangible","","http://schema.org/additionalType, http://schema.org/alternateName, http://schema.org/broadcastFrequencyValue, http://schema.org/description, http://schema.org/disambiguatingDescription, http://schema.org/identifier, http://schema.org/image, http://schema.org/mainEntityOfPage, http://schema.org/name, http://schema.org/potentialAction, http://schema.org/sameAs, http://schema.org/url","","","","http://pending.schema.org"
"http://schema.org/BrokerageAccount","BrokerageAccount","An account that allows an investor to deposit funds and place investment orders with a licensed broker or brokerage firm.","http://schema.org/InvestmentOrDeposit","","http://schema.org/additionalType, http://schema.org/aggregateRating, http://schema.org/alternateName, http://schema.org/amount, http://schema.org/annualPercentageRate, http://schema.org/areaServed, http://schema.org/audience, http://schema.org/availableChannel, http://schema.org/award, http://schema.org/brand, http://schema.org/broker, http://schema.org/category, http://schema.org/description, http://schema.org/disambiguatingDescription, http://schema.org/feesAndCommissionsSpecification, http://schema.org/hasOfferCatalog, http://schema.org/hoursAvailable, http://schema.org/identifier, http://schema.org/image, http://schema.org/interestRate, http://schema.org/isRelatedTo, http://schema.org/isSimilarTo, http://schema.org/logo, http://schema.org/mainEntityOfPage, http://schema.org/name, http://schema.org/offers, http://schema.org/potentialAction, http://schema.org/produces, http://schema.org/provider, http://schema.org/providerMobility, http://schema.org/review, http://schema.org/sameAs, http://schema.org/serviceArea, http://schema.org/serviceAudience, http://schema.org/serviceOutput, http://schema.org/serviceType, http://schema.org/termsOfService, http://schema.org/url","","","","http://pending.schema.org"
"http://schema.org/CategoryCode","CategoryCode","A Category Code.","http://schema.org/Intangible","","http://schema.org/additionalType, http://schema.org/alternateName, http://schema.org/codeValue, http://schema.org/description, http://schema.org/disambiguatingDescription, http://schema.org/identifier, http://schema.org/image, http://schema.org/inCodeSet, http://schema.org/mainEntityOfPage, http://schema.org/name, http://schema.org/potentialAction, http://schema.org/sameAs, http://schema.org/url","http://schema.org/MedicalCode","","","http://pending.schema.org"
"http://schema.org/CategoryCodeSet","CategoryCodeSet","A set of Category Code values.","http://schema.org/CreativeWork","","http://schema.org/about, http://schema.org/accessMode, http://schema.org/accessModeSufficient, http://schema.org/accessibilityAPI, http://schema.org/accessibilityControl, http://schema.org/accessibilityFeature, http://schema.org/accessibilityHazard, http://schema.org/accessibilitySummary, http://schema.org/accountablePerson, http://schema.org/additionalType, http://schema.org/aggregateRating, http://schema.org/alternateName, http://schema.org/alternativeHeadline, http://schema.org/associatedMedia, http://schema.org/audience, http://schema.org/audio, http://schema.org/author, http://schema.org/award, http://schema.org/awards, http://schema.org/character, http://schema.org/citation, http://schema.org/comment, http://schema.org/commentCount, http://schema.org/contentLocation, http://schema.org/contentRating, http://schema.org/contentReferenceTime, http://schema.org/contributor, http://schema.org/copyrightHolder, http://schema.org/copyrightYear, http://schema.org/creator, http://schema.org/dateCreated, http://schema.org/dateModified, http://schema.org/datePublished, http://schema.org/description, http://schema.org/disambiguatingDescription, http://schema.org/discussionUrl, http://schema.org/editor, http://schema.org/educationalAlignment, http://schema.org/educationalUse, http://schema.org/encoding, http://schema.org/encodings, http://schema.org/exampleOfWork, http://schema.org/fileFormat, http://schema.org/funder, http://schema.org/genre, http://schema.org/hasCategoryCode, http://schema.org/hasPart, http://schema.org/headline, http://schema.org/identifier, http://schema.org/image, http://schema.org/inLanguage, http://schema.org/interactionStatistic, http://schema.org/interactivityType, http://schema.org/isAccessibleForFree, http://schema.org/isBasedOn, http://schema.org/isBasedOnUrl, http://schema.org/isFamilyFriendly, http://schema.org/isPartOf, http://schema.org/keywords, http://schema.org/learningResourceType, http://schema.org/license, http://schema.org/locationCreated, http://schema.org/mainEntity, http://schema.org/mainEntityOfPage, http://schema.org/material, http://schema.org/mentions, http://schema.org/name, http://schema.org/offers, http://schema.org/position, http://schema.org/potentialAction, http://schema.org/producer, http://schema.org/provider, http://schema.org/publication, http://schema.org/publisher, http://schema.org/publisherImprint, http://schema.org/publishingPrinciples, http://schema.org/recordedAt, http://schema.org/releasedEvent, http://schema.org/review, http://schema.org/reviews, http://schema.org/sameAs, http://schema.org/schemaVersion, http://schema.org/sourceOrganization, http://schema.org/spatialCoverage, http://schema.org/sponsor, http://schema.org/temporalCoverage, http://schema.org/text, http://schema.org/thumbnailUrl, http://schema.org/timeRequired, http://schema.org/translationOfWork, http://schema.org/translator, http://schema.org/typicalAgeRange, http://schema.org/url, http://schema.org/version, http://schema.org/video, http://schema.org/workExample, http://schema.org/workTranslation","","","","http://pending.schema.org"
"http://schema.org/CompleteDataFeed","CompleteDataFeed","A <a class=""localLink"" href=""http://schema.org/CompleteDataFeed"">CompleteDataFeed</a> is a <a class=""localLink"" href=""http://schema.org/DataFeed"">DataFeed</a> whose standard representation includes content for every item currently in the feed.</p>

<p>This is the equivalent of Atom's element as defined in Feed Paging and Archiving <a href=""https://tools.ietf.org/html/rfc5005"">RFC 5005</a>, For example (and as defined for Atom), when using data from a feed that represents a collection of items that varies over time (e.g. ""Top Twenty Records"") there is no need to have newer entries mixed in alongside older, obsolete entries. By marking this feed as a CompleteDataFeed, old entries can be safely discarded when the feed is refreshed, since we can assume the feed has provided descriptions for all current items.","http://schema.org/DataFeed","","http://schema.org/about, http://schema.org/accessMode, http://schema.org/accessModeSufficient, http://schema.org/accessibilityAPI, http://schema.org/accessibilityControl, http://schema.org/accessibilityFeature, http://schema.org/accessibilityHazard, http://schema.org/accessibilitySummary, http://schema.org/accountablePerson, http://schema.org/additionalType, http://schema.org/aggregateRating, http://schema.org/alternateName, http://schema.org/alternativeHeadline, http://schema.org/associatedMedia, http://schema.org/audience, http://schema.org/audio, http://schema.org/author, http://schema.org/award, http://schema.org/awards, http://schema.org/catalog, http://schema.org/character, http://schema.org/citation, http://schema.org/comment, http://schema.org/commentCount, http://schema.org/contentLocation, http://schema.org/contentRating, http://schema.org/contentReferenceTime, http://schema.org/contributor, http://schema.org/copyrightHolder, http://schema.org/copyrightYear, http://schema.org/creator, http://schema.org/dataFeedElement, http://schema.org/datasetTimeInterval, http://schema.org/dateCreated, http://schema.org/dateModified, http://schema.org/datePublished, http://schema.org/description, http://schema.org/disambiguatingDescription, http://schema.org/discussionUrl, http://schema.org/distribution, http://schema.org/editor, http://schema.org/educationalAlignment, http://schema.org/educationalUse, http://schema.org/encoding, http://schema.org/encodings, http://schema.org/exampleOfWork, http://schema.org/fileFormat, http://schema.org/funder, http://schema.org/genre, http://schema.org/hasPart, http://schema.org/headline, http://schema.org/identifier, http://schema.org/image, http://schema.org/inLanguage, http://schema.org/includedDataCatalog, http://schema.org/includedInDataCatalog, http://schema.org/interactionStatistic, http://schema.org/interactivityType, http://schema.org/isAccessibleForFree, http://schema.org/isBasedOn, http://schema.org/isBasedOnUrl, http://schema.org/isFamilyFriendly, http://schema.org/isPartOf, http://schema.org/keywords, http://schema.org/learningResourceType, http://schema.org/license, http://schema.org/locationCreated, http://schema.org/mainEntity, http://schema.org/mainEntityOfPage, http://schema.org/material, http://schema.org/measurementTechnique, http://schema.org/mentions, http://schema.org/name, http://schema.org/offers, http://schema.org/position, http://schema.org/potentialAction, http://schema.org/producer, http://schema.org/provider, http://schema.org/publication, http://schema.org/publisher, http://schema.org/publisherImprint, http://schema.org/publishingPrinciples, http://schema.org/recordedAt, http://schema.org/releasedEvent, http://schema.org/review, http://schema.org/reviews, http://schema.org/sameAs, http://schema.org/schemaVersion, http://schema.org/sourceOrganization, http://schema.org/spatial, http://schema.org/spatialCoverage, http://schema.org/sponsor, http://schema.org/temporal, http://schema.org/temporalCoverage, http://schema.org/text, http://schema.org/thumbnailUrl, http://schema.org/timeRequired, http://schema.org/translationOfWork, http://schema.org/translator, http://schema.org/typicalAgeRange, http://schema.org/url, http://schema.org/variableMeasured, http://schema.org/variablesMeasured, http://schema.org/version, http://schema.org/video, http://schema.org/workExample, http://schema.org/workTranslation","","","","http://pending.schema.org"
"http://schema.org/Consortium","Consortium","A Consortium is a membership <a class=""localLink"" href=""http://schema.org/Organization"">Organization</a> whose members are typically Organizations.","http://schema.org/Organization","","http://schema.org/additionalType, http://schema.org/address, http://schema.org/aggregateRating, http://schema.org/alternateName, http://schema.org/alumni, http://schema.org/areaServed, http://schema.org/award, http://schema.org/awards, http://schema.org/brand, http://schema.org/contactPoint, http://schema.org/contactPoints, http://schema.org/department, http://schema.org/description, http://schema.org/disambiguatingDescription, http://schema.org/dissolutionDate, http://schema.org/duns, http://schema.org/email, http://schema.org/employee, http://schema.org/employees, http://schema.org/event, http://schema.org/events, http://schema.org/faxNumber, http://schema.org/founder, http://schema.org/founders, http://schema.org/foundingDate, http://schema.org/foundingLocation, http://schema.org/funder, http://schema.org/globalLocationNumber, http://schema.org/hasOfferCatalog, http://schema.org/hasPOS, http://schema.org/identifier, http://schema.org/image, http://schema.org/isicV4, http://schema.org/legalName, http://schema.org/leiCode, http://schema.org/location, http://schema.org/logo, http://schema.org/mainEntityOfPage, http://schema.org/makesOffer, http://schema.org/member, http://schema.org/memberOf, http://schema.org/members, http://schema.org/naics, http://schema.org/name, http://schema.org/numberOfEmployees, http://schema.org/owns, http://schema.org/parentOrganization, http://schema.org/potentialAction, http://schema.org/review, http://schema.org/reviews, http://schema.org/sameAs, http://schema.org/seeks, http://schema.org/serviceArea, http://schema.org/sponsor, http://schema.org/subOrganization, http://schema.org/taxID, http://schema.org/telephone, http://schema.org/url, http://schema.org/vatID","","","","http://pending.schema.org"
"http://schema.org/Course","","A description of an educational course which may be offered as distinct instances at which take place at different times or take place at different locations, or be offered through different media or modes of study. An educational course is a sequence of one or more educational events and/or creative works which aims to build knowledge, competence or ability of learners.","http://schema.org/CreativeWork","","http://schema.org/about, http://schema.org/accessMode, http://schema.org/accessModeSufficient, http://schema.org/accessibilityAPI, http://schema.org/accessibilityControl, http://schema.org/accessibilityFeature, http://schema.org/accessibilityHazard, http://schema.org/accessibilitySummary, http://schema.org/accountablePerson, http://schema.org/additionalType, http://schema.org/aggregateRating, http://schema.org/alternateName, http://schema.org/alternativeHeadline, http://schema.org/associatedMedia, http://schema.org/audience, http://schema.org/audio, http://schema.org/author, http://schema.org/award, http://schema.org/awards, http://schema.org/character, http://schema.org/citation, http://schema.org/comment, http://schema.org/commentCount, http://schema.org/contentLocation, http://schema.org/contentRating, http://schema.org/contentReferenceTime, http://schema.org/contributor, http://schema.org/copyrightHolder, http://schema.org/copyrightYear, http://schema.org/courseCode, http://schema.org/coursePrerequisites, http://schema.org/creator, http://schema.org/dateCreated, http://schema.org/dateModified, http://schema.org/datePublished, http://schema.org/description, http://schema.org/disambiguatingDescription, http://schema.org/discussionUrl, http://schema.org/editor, http://schema.org/educationalAlignment, http://schema.org/educationalCredentialAwarded, http://schema.org/educationalUse, http://schema.org/encoding, http://schema.org/encodings, http://schema.org/exampleOfWork, http://schema.org/fileFormat, http://schema.org/funder, http://schema.org/genre, http://schema.org/hasCourseInstance, http://schema.org/hasPart, http://schema.org/headline, http://schema.org/identifier, http://schema.org/image, http://schema.org/inLanguage, http://schema.org/interactionStatistic, http://schema.org/interactivityType, http://schema.org/isAccessibleForFree, http://schema.org/isBasedOn, http://schema.org/isBasedOnUrl, http://schema.org/isFamilyFriendly, http://schema.org/isPartOf, http://schema.org/keywords, http://schema.org/learningResourceType, http://schema.org/license, http://schema.org/locationCreated, http://schema.org/mainEntity, http://schema.org/mainEntityOfPage, http://schema.org/material, http://schema.org/mentions, http://schema.org/name, http://schema.org/offers, http://schema.org/position, http://schema.org/potentialAction, http://schema.org/producer, http://schema.org/provider, http://schema.org/publication, http://schema.org/publisher, http://schema.org/publisherImprint, http://schema.org/publishingPrinciples, http://schema.org/recordedAt, http://schema.org/releasedEvent, http://schema.org/review, http://schema.org/reviews, http://schema.org/sameAs, http://schema.org/schemaVersion, http://schema.org/sourceOrganization, http://schema.org/spatialCoverage, http://schema.org/sponsor, http://schema.org/temporalCoverage, http://schema.org/text, http://schema.org/thumbnailUrl, http://schema.org/timeRequired, http://schema.org/translationOfWork, http://schema.org/translator, http://schema.org/typicalAgeRange, http://schema.org/url, http://schema.org/version, http://schema.org/video, http://schema.org/workExample, http://schema.org/workTranslation","","","",""
"http://schema.org/CourseInstance","","An instance of a <a class=""localLink"" href=""http://schema.org/Course"">Course</a> which is distinct from other instances because it is offered at a different time or location or through different media or modes of study or to a specific section of students.","http://schema.org/Event","","http://schema.org/about, http://schema.org/actor, http://schema.org/additionalType, http://schema.org/aggregateRating, http://schema.org/alternateName, http://schema.org/attendee, http://schema.org/attendees, http://schema.org/audience, http://schema.org/composer, http://schema.org/contributor, http://schema.org/courseMode, http://schema.org/description, http://schema.org/director, http://schema.org/disambiguatingDescription, http://schema.org/doorTime, http://schema.org/duration, http://schema.org/endDate, http://schema.org/eventStatus, http://schema.org/funder, http://schema.org/identifier, http://schema.org/image, http://schema.org/inLanguage, http://schema.org/instructor, http://schema.org/isAccessibleForFree, http://schema.org/location, http://schema.org/mainEntityOfPage, http://schema.org/maximumAttendeeCapacity, http://schema.org/name, http://schema.org/offers, http://schema.org/organizer, http://schema.org/performer, http://schema.org/performers, http://schema.org/potentialAction, http://schema.org/previousStartDate, http://schema.org/recordedIn, http://schema.org/remainingAttendeeCapacity, http://schema.org/review, http://schema.org/sameAs, http://schema.org/sponsor, http://schema.org/startDate, http://schema.org/subEvent, http://schema.org/subEvents, http://schema.org/superEvent, http://schema.org/translator, http://schema.org/typicalAgeRange, http://schema.org/url, http://schema.org/workFeatured, http://schema.org/workPerformed","","","",""
