"id","label","comment","enumerationtype","supersedes","supersededBy","isPartOf"
"http://schema.org/Abdomen","Abdomen","Abdomen clinical examination.","http://schema.org/PhysicalExam","","","http://health-lifesci.schema.org"
"http://schema.org/ActiveActionStatus","ActiveActionStatus","An in-progress action (e.g, while watching the movie, or driving to a location).","http://schema.org/ActionStatusType","","",""
"http://schema.org/ActiveNotRecruiting","ActiveNotRecruiting","Active, but not recruiting new participants.","http://schema.org/MedicalStudyStatus","","","http://health-lifesci.schema.org"
"http://schema.org/AerobicActivity","AerobicActivity","Physical activity of relatively low intensity that depends primarily on the aerobic energy-generating process; during activity, the aerobic metabolism uses oxygen to adequately meet energy demands during exercise.","http://schema.org/PhysicalActivityCategory","","","http://health-lifesci.schema.org"
"http://schema.org/AlbumRelease","AlbumRelease","AlbumRelease.","http://schema.org/MusicAlbumReleaseType","","",""
"http://schema.org/AllWheelDriveConfiguration","AllWheelDriveConfiguration","All-wheel Drive is a transmission layout where the engine drives all four wheels.","http://schema.org/DriveWheelConfigurationValue","","",""
"http://schema.org/AnaerobicActivity","AnaerobicActivity","Physical activity that is of high-intensity which utilizes the anaerobic metabolism of the body.","http://schema.org/PhysicalActivityCategory","","","http://health-lifesci.schema.org"
"http://schema.org/Anesthesia","Anesthesia","A specific branch of medical science that pertains to study of anesthetics and their application.","http://schema.org/MedicalSpecialty","","","http://health-lifesci.schema.org"
"http://schema.org/Appearance","Appearance","Appearance assessment with clinical examination.","http://schema.org/PhysicalExam","","","http://health-lifesci.schema.org"
"http://schema.org/AudiobookFormat","AudiobookFormat","Book format: Audiobook. This is an enumerated value for use with the bookFormat property. There is also a type 'Audiobook' in the bib extension which includes Audiobook specific properties.","http://schema.org/BookFormatType","","",""
"http://schema.org/AuthoritativeLegalValue","AuthoritativeLegalValue","Indicates that the publisher gives some special status to the publication of the document. (""The Queens Printer"" version of a UK Act of Parliament, or the PDF version of a Directive published by the EU Office of Publications). Something ""AuthoritativeLegalValue"" is considered to be also <a class=""localLink"" href=""http://schema.org/OfficialLegalValue"">OfficialLegalValue</a>"".","http://schema.org/LegalValueLevel","","","http://pending.schema.org"
"http://schema.org/Ayurvedic","Ayurvedic","A system of medicine that originated in India over thousands of years and that focuses on integrating and balancing the body, mind, and spirit.","http://schema.org/MedicineSystem","","","http://health-lifesci.schema.org"
"http://schema.org/Bacteria","Bacteria","Pathogenic bacteria that cause bacterial infection.","http://schema.org/InfectiousAgentClass","","","http://health-lifesci.schema.org"
"http://schema.org/Balance","Balance","Physical activity that is engaged to help maintain posture and balance.","http://schema.org/PhysicalActivityCategory","","","http://health-lifesci.schema.org"
"http://schema.org/BroadcastRelease","BroadcastRelease","BroadcastRelease.","http://schema.org/MusicAlbumReleaseType","","",""
"http://schema.org/CDFormat","CDFormat","CDFormat.","http://schema.org/MusicReleaseFormatType","","",""
"http://schema.org/CT","CT","X-ray computed tomography imaging.","http://schema.org/MedicalImagingTechnique","","","http://health-lifesci.schema.org"
"http://schema.org/Cardiovascular","Cardiovascular","A specific branch of medical science that pertains to diagnosis and treatment of disorders of heart and vasculature.","http://schema.org/MedicalSpecialty","","","http://health-lifesci.schema.org"
"http://schema.org/CardiovascularExam","CardiovascularExam","Cardiovascular system assessment withclinical examination.","http://schema.org/PhysicalExam","","","http://health-lifesci.schema.org"
"http://schema.org/CaseSeries","CaseSeries","A case series (also known as a clinical series) is a medical research study that tracks patients with a known exposure given similar treatment or examines their medical records for exposure and outcome. A case series can be retrospective or prospective and usually involves a smaller number of patients than the more powerful case-control studies or randomized controlled trials. Case series may be consecutive or non-consecutive, depending on whether all cases presenting to the reporting authors over a period of time were included, or only a selection.","http://schema.org/MedicalObservationalStudyDesign","","","http://health-lifesci.schema.org"
"http://schema.org/CassetteFormat","CassetteFormat","CassetteFormat.","http://schema.org/MusicReleaseFormatType","","",""
"http://schema.org/Chiropractic","Chiropractic","A system of medicine focused on the relationship between the body's structure, mainly the spine, and its functioning.","http://schema.org/MedicineSystem","","","http://health-lifesci.schema.org"
"http://schema.org/Clinician","Clinician","Medical clinicians, including practicing physicians and other medical professionals involved in clinical practice.","http://schema.org/MedicalAudience","","","http://health-lifesci.schema.org"
"http://schema.org/CoOp","CoOp","Play mode: CoOp. Co-operative games, where you play on the same team with friends.","http://schema.org/GamePlayMode","","",""
"http://schema.org/CohortStudy","CohortStudy","Also known as a panel study. A cohort study is a form of longitudinal study used in medicine and social science. It is one type of study design and should be compared with a cross-sectional study.  A cohort is a group of people who share a common characteristic or experience within a defined period (e.g., are born, leave school, lose their job, are exposed to a drug or a vaccine, etc.). The comparison group may be the general population from which the cohort is drawn, or it may be another cohort of persons thought to have had little or no exposure to the substance under investigation, but otherwise similar. Alternatively, subgroups within the cohort may be compared with each other.","http://schema.org/MedicalObservationalStudyDesign","","","http://health-lifesci.schema.org"
"http://schema.org/CommentPermission","CommentPermission","Permission to add comments to the document.","http://schema.org/DigitalDocumentPermissionType","","",""
"http://schema.org/CommunityHealth","CommunityHealth","A field of public health focusing on improving health characteristics of a defined population in relation with their geographical or environment areas","http://schema.org/MedicalSpecialty","","","http://health-lifesci.schema.org"
"http://schema.org/CompilationAlbum","CompilationAlbum","CompilationAlbum.","http://schema.org/MusicAlbumProductionType","","",""
"http://schema.org/Completed","Completed","Completed.","http://schema.org/MedicalStudyStatus","","","http://health-lifesci.schema.org"
