"id","label","comment","enumerationtype","supersedes","supersededBy","isPartOf"
"http://schema.org/Abdomen","Abdomen","Abdomen clinical examination.","http://schema.org/PhysicalExam","","","http://health-lifesci.schema.org"
"http://schema.org/ActiveNotRecruiting","ActiveNotRecruiting","Active, but not recruiting new participants.","http://schema.org/MedicalStudyStatus","","","http://health-lifesci.schema.org"
"http://schema.org/AerobicActivity","AerobicActivity","Physical activity of relatively low intensity that depends primarily on the aerobic energy-generating process; during activity, the aerobic metabolism uses oxygen to adequately meet energy demands during exercise.","http://schema.org/PhysicalActivityCategory","","","http://health-lifesci.schema.org"
"http://schema.org/AnaerobicActivity","AnaerobicActivity","Physical activity that is of high-intensity which utilizes the anaerobic metabolism of the body.","http://schema.org/PhysicalActivityCategory","","","http://health-lifesci.schema.org"
"http://schema.org/Anesthesia","Anesthesia","A specific branch of medical science that pertains to study of anesthetics and their application.","http://schema.org/MedicalSpecialty","","","http://health-lifesci.schema.org"
"http://schema.org/Appearance","Appearance","Appearance assessment with clinical examination.","http://schema.org/PhysicalExam","","","http://health-lifesci.schema.org"
"http://schema.org/Ayurvedic","Ayurvedic","A system of medicine that originated in India over thousands of years and that focuses on integrating and balancing the body, mind, and spirit.","http://schema.org/MedicineSystem","","","http://health-lifesci.schema.org"
"http://schema.org/Bacteria","Bacteria","Pathogenic bacteria that cause bacterial infection.","http://schema.org/InfectiousAgentClass","","","http://health-lifesci.schema.org"
"http://schema.org/Balance","Balance","Physical activity that is engaged to help maintain posture and balance.","http://schema.org/PhysicalActivityCategory","","","http://health-lifesci.schema.org"
"http://schema.org/CT","CT","X-ray computed tomography imaging.","http://schema.org/MedicalImagingTechnique","","","http://health-lifesci.schema.org"
"http://schema.org/Cardiovascular","Cardiovascular","A specific branch of medical science that pertains to diagnosis and treatment of disorders of heart and vasculature.","http://schema.org/MedicalSpecialty","","","http://health-lifesci.schema.org"
"http://schema.org/CardiovascularExam","CardiovascularExam","Cardiovascular system assessment withclinical examination.","http://schema.org/PhysicalExam","","","http://health-lifesci.schema.org"
"http://schema.org/CaseSeries","CaseSeries","A case series (also known as a clinical series) is a medical research study that tracks patients with a known exposure given similar treatment or examines their medical records for exposure and outcome. A case series can be retrospective or prospective and usually involves a smaller number of patients than the more powerful case-control studies or randomized controlled trials. Case series may be consecutive or non-consecutive, depending on whether all cases presenting to the reporting authors over a period of time were included, or only a selection.","http://schema.org/MedicalObservationalStudyDesign","","","http://health-lifesci.schema.org"
"http://schema.org/Chiropractic","Chiropractic","A system of medicine focused on the relationship between the body's structure, mainly the spine, and its functioning.","http://schema.org/MedicineSystem","","","http://health-lifesci.schema.org"
"http://schema.org/Clinician","Clinician","Medical clinicians, including practicing physicians and other medical professionals involved in clinical practice.","http://schema.org/MedicalAudience","","","http://health-lifesci.schema.org"
"http://schema.org/CohortStudy","CohortStudy","Also known as a panel study. A cohort study is a form of longitudinal study used in medicine and social science. It is one type of study design and should be compared with a cross-sectional study.  A cohort is a group of people who share a common characteristic or experience within a defined period (e.g., are born, leave school, lose their job, are exposed to a drug or a vaccine, etc.). The comparison group may be the general population from which the cohort is drawn, or it may be another cohort of persons thought to have had little or no exposure to the substance under investigation, but otherwise similar. Alternatively, subgroups within the cohort may be compared with each other.","http://schema.org/MedicalObservationalStudyDesign","","","http://health-lifesci.schema.org"
"http://schema.org/CommunityHealth","CommunityHealth","A field of public health focusing on improving health characteristics of a defined population in relation with their geographical or environment areas","http://schema.org/MedicalSpecialty","","","http://health-lifesci.schema.org"
"http://schema.org/Completed","Completed","Completed.","http://schema.org/MedicalStudyStatus","","","http://health-lifesci.schema.org"
"http://schema.org/CrossSectional","CrossSectional","Studies carried out on pre-existing data (usually from 'snapshot' surveys), such as that collected by the Census Bureau. Sometimes called Prevalence Studies.","http://schema.org/MedicalObservationalStudyDesign","","","http://health-lifesci.schema.org"
"http://schema.org/Dentistry","Dentistry","A branch of medicine that is involved in the dental care.","http://schema.org/MedicalSpecialty","","","http://health-lifesci.schema.org"
"http://schema.org/Dermatologic","Dermatologic","Something relating to or practicing dermatology","http://schema.org/MedicalSpecialty","","http://schema.org/Dermatology","http://health-lifesci.schema.org"
"http://schema.org/Dermatology","Dermatology","A specific branch of medical science that pertains to diagnosis and treatment of disorders of skin.","http://schema.org/MedicalSpecialty","http://schema.org/Dermatologic","","http://health-lifesci.schema.org"
"http://schema.org/Diagnostic","Diagnostic","A medical device used for diagnostic purposes.","http://schema.org/MedicalDevicePurpose","","","http://health-lifesci.schema.org"
"http://schema.org/DietNutrition","DietNutrition","Dietetic and nutrition as a medical speciality.","http://schema.org/MedicalSpecialty","","","http://health-lifesci.schema.org"
"http://schema.org/DoubleBlindedTrial","DoubleBlindedTrial","A trial design in which neither the researcher nor the patient knows the details of the treatment the patient was randomly assigned to.","http://schema.org/MedicalTrialDesign","","","http://health-lifesci.schema.org"
"http://schema.org/Ear","Ear","Ear function assessment with clinical examination.","http://schema.org/PhysicalExam","","","http://health-lifesci.schema.org"
"http://schema.org/Emergency","Emergency","A specific branch of medical science that deals with the evaluation and initial treatment of medical conditions caused by trauma or sudden illness.","http://schema.org/MedicalSpecialty","","","http://health-lifesci.schema.org"
"http://schema.org/Endocrine","Endocrine","A specific branch of medical science that pertains to diagnosis and treatment of disorders of endocrine glands and their secretions.","http://schema.org/MedicalSpecialty","","","http://health-lifesci.schema.org"
"http://schema.org/EnrollingByInvitation","EnrollingByInvitation","Enrolling participants by invitation only.","http://schema.org/MedicalStudyStatus","","","http://health-lifesci.schema.org"
"http://schema.org/EvidenceLevelA","EvidenceLevelA","Data derived from multiple randomized clinical trials or meta-analyses.","http://schema.org/MedicalEvidenceLevel","","","http://health-lifesci.schema.org"
"http://schema.org/EvidenceLevelB","EvidenceLevelB","Data derived from a single randomized trial, or nonrandomized studies.","http://schema.org/MedicalEvidenceLevel","","","http://health-lifesci.schema.org"
"http://schema.org/EvidenceLevelC","EvidenceLevelC","Only consensus opinion of experts, case studies, or standard-of-care.","http://schema.org/MedicalEvidenceLevel","","","http://health-lifesci.schema.org"
"http://schema.org/Eye","Eye","Eye or ophtalmological function assessment with clinical examination.","http://schema.org/PhysicalExam","","","http://health-lifesci.schema.org"
"http://schema.org/FDAcategoryA","FDAcategoryA","A designation by the US FDA signifying that adequate and well-controlled studies have failed to demonstrate a risk to the fetus in the first trimester of pregnancy (and there is no evidence of risk in later trimesters).","http://schema.org/DrugPregnancyCategory","","","http://health-lifesci.schema.org"
"http://schema.org/FDAcategoryB","FDAcategoryB","A designation by the US FDA signifying that animal reproduction studies have failed to demonstrate a risk to the fetus and there are no adequate and well-controlled studies in pregnant women.","http://schema.org/DrugPregnancyCategory","","","http://health-lifesci.schema.org"
"http://schema.org/FDAcategoryC","FDAcategoryC","A designation by the US FDA signifying that animal reproduction studies have shown an adverse effect on the fetus and there are no adequate and well-controlled studies in humans, but potential benefits may warrant use of the drug in pregnant women despite potential risks.","http://schema.org/DrugPregnancyCategory","","","http://health-lifesci.schema.org"
"http://schema.org/FDAcategoryD","FDAcategoryD","A designation by the US FDA signifying that there is positive evidence of human fetal risk based on adverse reaction data from investigational or marketing experience or studies in humans, but potential benefits may warrant use of the drug in pregnant women despite potential risks.","http://schema.org/DrugPregnancyCategory","","","http://health-lifesci.schema.org"
"http://schema.org/FDAcategoryX","FDAcategoryX","A designation by the US FDA signifying that studies in animals or humans have demonstrated fetal abnormalities and/or there is positive evidence of human fetal risk based on adverse reaction data from investigational or marketing experience, and the risks involved in use of the drug in pregnant women clearly outweigh potential benefits.","http://schema.org/DrugPregnancyCategory","","","http://health-lifesci.schema.org"
"http://schema.org/FDAnotEvaluated","FDAnotEvaluated","A designation that the drug in question has not been assigned a pregnancy category designation by the US FDA.","http://schema.org/DrugPregnancyCategory","","","http://health-lifesci.schema.org"
"http://schema.org/Flexibility","Flexibility","Physical activity that is engaged in to improve joint and muscle flexibility.","http://schema.org/PhysicalActivityCategory","","","http://health-lifesci.schema.org"
"http://schema.org/Fungus","Fungus","Pathogenic fungus.","http://schema.org/InfectiousAgentClass","","","http://health-lifesci.schema.org"
"http://schema.org/Gastroenterologic","Gastroenterologic","A specific branch of medical science that pertains to diagnosis and treatment of disorders of digestive system.","http://schema.org/MedicalSpecialty","","","http://health-lifesci.schema.org"
"http://schema.org/Genetic","Genetic","A specific branch of medical science that pertains to hereditary transmission and the variation of inherited characteristics and disorders.","http://schema.org/MedicalSpecialty","","","http://health-lifesci.schema.org"
"http://schema.org/Genitourinary","Genitourinary","Genitourinary system function assessment with clinical examination.","http://schema.org/PhysicalExam","","","http://health-lifesci.schema.org"
"http://schema.org/Geriatric","Geriatric","A specific branch of medical science that is concerned with the diagnosis and treatment of diseases, debilities and provision of care to the aged.","http://schema.org/MedicalSpecialty","","","http://health-lifesci.schema.org"
"http://schema.org/Gynecologic","Gynecologic","A specific branch of medical science that pertains to the health care of women, particularly in the diagnosis and treatment of disorders affecting the female reproductive system.","http://schema.org/MedicalSpecialty","","","http://health-lifesci.schema.org"
"http://schema.org/Head","Head","Head assessment with clinical examination.","http://schema.org/PhysicalExam","","","http://health-lifesci.schema.org"
"http://schema.org/Hematologic","Hematologic","A specific branch of medical science that pertains to diagnosis and treatment of disorders of blood and blood producing organs.","http://schema.org/MedicalSpecialty","","","http://health-lifesci.schema.org"
"http://schema.org/Homeopathic","Homeopathic","A system of medicine based on the principle that a disease can be cured by a substance that produces similar symptoms in healthy people.","http://schema.org/MedicineSystem","","","http://health-lifesci.schema.org"
"http://schema.org/Infectious","Infectious","Something in medical science that pertains to infectious diseases i.e caused by bacterial, viral, fungal or parasitic infections.","http://schema.org/MedicalSpecialty","","","http://health-lifesci.schema.org"
"http://schema.org/InternationalTrial","InternationalTrial","An international trial.","http://schema.org/MedicalTrialDesign","","","http://health-lifesci.schema.org"
"http://schema.org/LaboratoryScience","LaboratoryScience","A medical science pertaining to chemical, hematological, immunologic, microscopic, or bacteriological diagnostic analyses or research","http://schema.org/MedicalSpecialty","","","http://health-lifesci.schema.org"
"http://schema.org/LeisureTimeActivity","LeisureTimeActivity","Any physical activity engaged in for recreational purposes. Examples may include ballroom dancing, roller skating, canoeing, fishing, etc.","http://schema.org/PhysicalActivityCategory","","","http://health-lifesci.schema.org"
"http://schema.org/Longitudinal","Longitudinal","Unlike cross-sectional studies, longitudinal studies track the same people, and therefore the differences observed in those people are less likely to be the result of cultural differences across generations. Longitudinal studies are also used in medicine to uncover predictors of certain diseases.","http://schema.org/MedicalObservationalStudyDesign","","","http://health-lifesci.schema.org"
"http://schema.org/Lung","Lung","Lung and respiratory system clinical examination.","http://schema.org/PhysicalExam","","","http://health-lifesci.schema.org"
"http://schema.org/MRI","MRI","Magnetic resonance imaging.","http://schema.org/MedicalImagingTechnique","","","http://health-lifesci.schema.org"
"http://schema.org/MedicalResearcher","MedicalResearcher","Medical researchers.","http://schema.org/MedicalAudience","","","http://health-lifesci.schema.org"
"http://schema.org/Midwifery","Midwifery","A nurse-like health profession that deals with pregnancy, childbirth, and the postpartum period (including care of the newborn), besides sexual and reproductive health of women throughout their lives.","http://schema.org/MedicalSpecialty","","","http://health-lifesci.schema.org"
"http://schema.org/MultiCenterTrial","MultiCenterTrial","A trial that takes place at multiple centers.","http://schema.org/MedicalTrialDesign","","","http://health-lifesci.schema.org"
"http://schema.org/MulticellularParasite","MulticellularParasite","Multicellular parasite that causes an infection.","http://schema.org/InfectiousAgentClass","","","http://health-lifesci.schema.org"
"http://schema.org/Musculoskeletal","Musculoskeletal","A specific branch of medical science that pertains to diagnosis and treatment of disorders of muscles, ligaments and skeletal system.","http://schema.org/MedicalSpecialty","","","http://health-lifesci.schema.org"
"http://schema.org/MusculoskeletalExam","MusculoskeletalExam","Musculoskeletal system clinical examination.","http://schema.org/PhysicalExam","","","http://health-lifesci.schema.org"
"http://schema.org/Neck","Neck","Neck assessment with clinical examination.","http://schema.org/PhysicalExam","","","http://health-lifesci.schema.org"
"http://schema.org/Neuro","Neuro","Neurological system clinical examination.","http://schema.org/PhysicalExam","","","http://health-lifesci.schema.org"
"http://schema.org/Neurologic","Neurologic","A specific branch of medical science that studies the nerves and nervous system and its respective disease states.","http://schema.org/MedicalSpecialty","","","http://health-lifesci.schema.org"
"http://schema.org/NoninvasiveProcedure","NoninvasiveProcedure","A type of medical procedure that involves noninvasive techniques.","http://schema.org/MedicalProcedureType","","","http://health-lifesci.schema.org"
"http://schema.org/Nose","Nose","Nose function assessment with clinical examination.","http://schema.org/PhysicalExam","","","http://health-lifesci.schema.org"
"http://schema.org/NotYetRecruiting","NotYetRecruiting","Not yet recruiting.","http://schema.org/MedicalStudyStatus","","","http://health-lifesci.schema.org"
"http://schema.org/Nursing","Nursing","A health profession of a person formally educated and trained in the care of the sick or infirm person.","http://schema.org/MedicalSpecialty","","","http://health-lifesci.schema.org"
"http://schema.org/OTC","OTC","The character of a medical substance, typically a medicine, of being available over the counter or not.","http://schema.org/DrugPrescriptionStatus","","","http://health-lifesci.schema.org"
"http://schema.org/Observational","Observational","An observational study design.","http://schema.org/MedicalObservationalStudyDesign","","","http://health-lifesci.schema.org"
