"id","label","comment","subPropertyOf","equivalentProperty","subproperties","domainIncludes","rangeIncludes","inversOf","supersedes","supersededBy","isPartOf"
"http://schema.org/about","about","The subject matter of the content.","","","http://schema.org/mainEntity","http://schema.org/CommunicateAction, http://schema.org/CreativeWork, http://schema.org/Event","http://schema.org/Thing","","",""
"http://schema.org/acceptedAnswer","acceptedAnswer","The answer that has been accepted as best, typically on a Question/Answer site. Sites vary in their selection mechanisms, e.g. drawing on community opinion and/or the view of the Question author.","http://schema.org/suggestedAnswer","","","http://schema.org/Question","http://schema.org/Answer","","",""
"http://schema.org/acceptedOffer","acceptedOffer","The offer(s) -- e.g., product, quantity and price combinations -- included in the order.","","","","http://schema.org/Order","http://schema.org/Offer","","",""
"http://schema.org/acceptedPaymentMethod","acceptedPaymentMethod","The payment method(s) accepted by seller for this offer.","","","","http://schema.org/Demand, http://schema.org/Offer","http://schema.org/LoanOrCredit, http://schema.org/PaymentMethod","","",""
"http://schema.org/acceptsReservations","acceptsReservations","Indicates whether a FoodEstablishment accepts reservations. Values can be Boolean, an URL at which reservations can be made or (for backwards compatibility) the strings <code>Yes</code> or <code>No</code>.","","","","http://schema.org/FoodEstablishment","http://schema.org/Boolean, http://schema.org/Text, http://schema.org/URL","","",""
"http://schema.org/accessCode","accessCode","Password, PIN, or access code needed for delivery (e.g. from a locker).","","","","http://schema.org/DeliveryEvent","http://schema.org/Text","","",""
"http://schema.org/accessMode","accessMode","The human sensory perceptual system or cognitive faculty through which a person may process or perceive information. Expected values include: auditory, tactile, textual, visual, colorDependent, chartOnVisual, chemOnVisual, diagramOnVisual, mathOnVisual, musicOnVisual, textOnVisual.","","","","http://schema.org/CreativeWork","http://schema.org/Text","","",""
"http://schema.org/accessModeSufficient","accessModeSufficient","A list of single or combined accessModes that are sufficient to understand all the intellectual content of a resource. Expected values include:  auditory, tactile, textual, visual.","","","","http://schema.org/CreativeWork","http://schema.org/Text","","",""
"http://schema.org/accessibilityAPI","accessibilityAPI","Indicates that the resource is compatible with the referenced accessibility API (<a href=""http://www.w3.org/wiki/WebSchemas/Accessibility"">WebSchemas wiki lists possible values</a>).","","","","http://schema.org/CreativeWork","http://schema.org/Text","","",""
"http://schema.org/accessibilityControl","accessibilityControl","Identifies input methods that are sufficient to fully control the described resource (<a href=""http://www.w3.org/wiki/WebSchemas/Accessibility"">WebSchemas wiki lists possible values</a>).","","","","http://schema.org/CreativeWork","http://schema.org/Text","","",""
"http://schema.org/accessibilityFeature","accessibilityFeature","Content features of the resource, such as accessible media, alternatives and supported enhancements for accessibility (<a href=""http://www.w3.org/wiki/WebSchemas/Accessibility"">WebSchemas wiki lists possible values</a>).","","","","http://schema.org/CreativeWork","http://schema.org/Text","","",""
"http://schema.org/accessibilityHazard","accessibilityHazard","A characteristic of the described resource that is physiologically dangerous to some users. Related to WCAG 2.0 guideline 2.3 (<a href=""http://www.w3.org/wiki/WebSchemas/Accessibility"">WebSchemas wiki lists possible values</a>).","","","","http://schema.org/CreativeWork","http://schema.org/Text","","",""
"http://schema.org/accessibilitySummary","accessibilitySummary","A human-readable summary of specific accessibility features or deficiencies, consistent with the other accessibility metadata but expressing subtleties such as ""short descriptions are present but long descriptions will be needed for non-visual users"" or ""short descriptions are present and no long descriptions are needed.""","","","","http://schema.org/CreativeWork","http://schema.org/Text","","",""
"http://schema.org/accountId","accountId","The identifier for the account the payment will be applied to.","http://schema.org/identifier","","","http://schema.org/Invoice","http://schema.org/Text","","",""
"http://schema.org/accountablePerson","accountablePerson","Specifies the Person that is legally accountable for the CreativeWork.","","","","http://schema.org/CreativeWork","http://schema.org/Person","","",""
"http://schema.org/acquiredFrom","acquiredFrom","The organization or person from which the product was acquired.","","","","http://schema.org/OwnershipInfo","http://schema.org/Organization, http://schema.org/Person","","",""
"http://schema.org/actionApplication","actionApplication","An application that can complete the request.","","","","http://schema.org/EntryPoint","http://schema.org/SoftwareApplication","","http://schema.org/application",""
"http://schema.org/actionOption","actionOption","A sub property of object. The options subject to this action.","http://schema.org/object","","","http://schema.org/ChooseAction","http://schema.org/Text, http://schema.org/Thing","","http://schema.org/option",""
"http://schema.org/actionPlatform","actionPlatform","The high level platform(s) where the Action can be performed for the given URL. To specify a specific application or operating system instance, use actionApplication.","","","","http://schema.org/EntryPoint","http://schema.org/Text, http://schema.org/URL","","",""
"http://schema.org/actionStatus","actionStatus","Indicates the current disposition of the Action.","","","","http://schema.org/Action","http://schema.org/ActionStatusType","","",""
"http://schema.org/actor","actor","An actor, e.g. in tv, radio, movie, video games etc., or in an event. Actors can be associated with individual items or with a series, episode, clip.","","","http://schema.org/readBy","http://schema.org/Clip, http://schema.org/CreativeWorkSeason, http://schema.org/Episode, http://schema.org/Event, http://schema.org/Movie, http://schema.org/MovieSeries, http://schema.org/RadioSeries, http://schema.org/TVSeries, http://schema.org/VideoGame, http://schema.org/VideoGameSeries, http://schema.org/VideoObject","http://schema.org/Person","","http://schema.org/actors",""
"http://schema.org/actors","actors","An actor, e.g. in tv, radio, movie, video games etc. Actors can be associated with individual items or with a series, episode, clip.","","","","http://schema.org/Clip, http://schema.org/Episode, http://schema.org/Movie, http://schema.org/MovieSeries, http://schema.org/RadioSeries, http://schema.org/TVSeries, http://schema.org/VideoGame, http://schema.org/VideoGameSeries, http://schema.org/VideoObject","http://schema.org/Person","","","http://schema.org/actor"
"http://schema.org/addOn","addOn","An additional offer that can only be obtained in combination with the first base offer (e.g. supplements and extensions that are available for a surcharge).","","","","http://schema.org/Offer","http://schema.org/Offer","","",""
"http://schema.org/additionalName","additionalName","An additional name for a Person, can be used for a middle name.","","","","http://schema.org/Person","http://schema.org/Text","","",""
"http://schema.org/additionalNumberOfGuests","additionalNumberOfGuests","If responding yes, the number of guests who will attend in addition to the invitee.","","","","http://schema.org/RsvpAction","http://schema.org/Number","","",""
"http://schema.org/additionalProperty","additionalProperty","A property-value pair representing an additional characteristics of the entitity, e.g. a product feature or another characteristic for which there is no matching property in schema.org.</p>

<p>Note: Publishers should be aware that applications designed to use specific schema.org properties (e.g. http://schema.org/width, http://schema.org/color, http://schema.org/gtin13, ...) will typically expect such data to be provided using those properties, rather than using the generic property/value mechanism.","","","","http://schema.org/Place, http://schema.org/Product, http://schema.org/QualitativeValue, http://schema.org/QuantitativeValue","http://schema.org/PropertyValue","","",""
"http://schema.org/additionalType","additionalType","An additional type for the item, typically used for adding more specific types from external vocabularies in microdata syntax. This is a relationship between something and a class that the thing is in. In RDFa syntax, it is better to use the native RDFa syntax - the 'typeof' attribute - for multiple types. Schema.org tools may have only weaker understanding of extra types, in particular those defined externally.","","","","http://schema.org/Thing","http://schema.org/URL","","",""
"http://schema.org/address","address","Physical address of the item.","","","","http://schema.org/GeoCoordinates, http://schema.org/GeoShape, http://schema.org/Organization, http://schema.org/Person, http://schema.org/Place","http://schema.org/PostalAddress, http://schema.org/Text","","",""
"http://schema.org/addressCountry","addressCountry","The country. For example, USA. You can also provide the two-letter <a href=""http://en.wikipedia.org/wiki/ISO_3166-1"">ISO 3166-1 alpha-2 country code</a>.","","","","http://schema.org/GeoCoordinates, http://schema.org/GeoShape, http://schema.org/PostalAddress","http://schema.org/Country, http://schema.org/Text","","",""
"http://schema.org/addressLocality","addressLocality","The locality. For example, Mountain View.","","","","http://schema.org/PostalAddress","http://schema.org/Text","","",""
"http://schema.org/addressRegion","addressRegion","The region. For example, CA.","","","","http://schema.org/PostalAddress","http://schema.org/Text","","",""
"http://schema.org/advanceBookingRequirement","advanceBookingRequirement","The amount of time that is required between accepting the offer and the actual usage of the resource or service.","","","","http://schema.org/Demand, http://schema.org/Offer","http://schema.org/QuantitativeValue","","",""
"http://schema.org/affiliation","affiliation","An organization that this person is affiliated with. For example, a school/university, a club, or a team.","http://schema.org/memberOf","","","http://schema.org/Person","http://schema.org/Organization","","",""
"http://schema.org/afterMedia","afterMedia","A media object representing the circumstances after performing this direction.","","","","http://schema.org/HowToDirection","http://schema.org/MediaObject","","",""
"http://schema.org/agent","agent","The direct performer or driver of the action (animate or inanimate). e.g. <em>John</em> wrote a book.","","","","http://schema.org/Action","http://schema.org/Organization, http://schema.org/Person","","",""
"http://schema.org/aggregateRating","aggregateRating","The overall rating, based on a collection of reviews or ratings, of the item.","","","","http://schema.org/Brand, http://schema.org/CreativeWork, http://schema.org/Event, http://schema.org/Offer, http://schema.org/Organization, http://schema.org/Place, http://schema.org/Product, http://schema.org/Service","http://schema.org/AggregateRating","","",""
"http://schema.org/aircraft","aircraft","The kind of aircraft (e.g., ""Boeing 747"").","","","","http://schema.org/Flight","http://schema.org/Text, http://schema.org/Vehicle","","",""
"http://schema.org/album","album","A music album.","","","","http://schema.org/MusicGroup","http://schema.org/MusicAlbum","","http://schema.org/albums",""
"http://schema.org/albumProductionType","albumProductionType","Classification of the album by it's type of content: soundtrack, live album, studio album, etc.","","","","http://schema.org/MusicAlbum","http://schema.org/MusicAlbumProductionType","","",""
"http://schema.org/albumRelease","albumRelease","A release of this album.","","","","http://schema.org/MusicAlbum","http://schema.org/MusicRelease","http://schema.org/releaseOf","",""
"http://schema.org/albumReleaseType","albumReleaseType","The kind of release which this album is: single, EP or album.","","","","http://schema.org/MusicAlbum","http://schema.org/MusicAlbumReleaseType","","",""
"http://schema.org/albums","albums","A collection of music albums.","","","","http://schema.org/MusicGroup","http://schema.org/MusicAlbum","","","http://schema.org/album"
"http://schema.org/alignmentType","alignmentType","A category of alignment between the learning resource and the framework node. Recommended values include: 'assesses', 'teaches', 'requires', 'textComplexity', 'readingLevel', 'educationalSubject', and 'educationalLevel'.","","","","http://schema.org/AlignmentObject","http://schema.org/Text","","",""
"http://schema.org/alternateName","alternateName","An alias for the item.","","","","http://schema.org/Thing","http://schema.org/Text","","",""
"http://schema.org/alternativeHeadline","alternativeHeadline","A secondary title of the CreativeWork.","","","","http://schema.org/CreativeWork","http://schema.org/Text","","",""
