"id","label","comment","subTypeOf","enumerationtype","equivalentClass","properties","subTypes","supersedes","supersededBy","isPartOf"
"http://schema.org/AMRadioChannel","AMRadioChannel","A radio channel that uses AM.","http://schema.org/RadioChannel","","","http://schema.org/additionalType, http://schema.org/alternateName, http://schema.org/broadcastChannelId, http://schema.org/broadcastFrequency, http://schema.org/broadcastServiceTier, http://schema.org/description, http://schema.org/disambiguatingDescription, http://schema.org/genre, http://schema.org/identifier, http://schema.org/image, http://schema.org/inBroadcastLineup, http://schema.org/mainEntityOfPage, http://schema.org/name, http://schema.org/potentialAction, http://schema.org/providesBroadcastService, http://schema.org/sameAs, http://schema.org/subjectOf, http://schema.org/url","","","","http://pending.schema.org"
"http://schema.org/ActionAccessSpecification","ActionAccessSpecification","A set of requirements that a must be fulfilled in order to perform an Action.","http://schema.org/Intangible","","","http://schema.org/additionalType, http://schema.org/alternateName, http://schema.org/availabilityEnds, http://schema.org/availabilityStarts, http://schema.org/category, http://schema.org/description, http://schema.org/disambiguatingDescription, http://schema.org/eligibleRegion, http://schema.org/expectsAcceptanceOf, http://schema.org/identifier, http://schema.org/image, http://schema.org/mainEntityOfPage, http://schema.org/name, http://schema.org/potentialAction, http://schema.org/requiresSubscription, http://schema.org/sameAs, http://schema.org/subjectOf, http://schema.org/url","","","","http://pending.schema.org"
"http://schema.org/AdvertiserContentArticle","AdvertiserContentArticle","An <a class=""localLink"" href=""http://schema.org/Article"">Article</a> that an external entity has paid to place or to produce to its specifications. Includes <a href=""https://en.wikipedia.org/wiki/Advertorial"">advertorials</a>, sponsored content, native advertising and other paid content.","http://schema.org/Article","","","http://schema.org/about, http://schema.org/accessMode, http://schema.org/accessModeSufficient, http://schema.org/accessibilityAPI, http://schema.org/accessibilityControl, http://schema.org/accessibilityFeature, http://schema.org/accessibilityHazard, http://schema.org/accessibilitySummary, http://schema.org/accountablePerson, http://schema.org/additionalType, http://schema.org/aggregateRating, http://schema.org/alternateName, http://schema.org/alternativeHeadline, http://schema.org/articleBody, http://schema.org/articleSection, http://schema.org/associatedMedia, http://schema.org/audience, http://schema.org/audio, http://schema.org/author, http://schema.org/award, http://schema.org/awards, http://schema.org/backstory, http://schema.org/character, http://schema.org/citation, http://schema.org/comment, http://schema.org/commentCount, http://schema.org/contentLocation, http://schema.org/contentRating, http://schema.org/contentReferenceTime, http://schema.org/contributor, http://schema.org/copyrightHolder, http://schema.org/copyrightYear, http://schema.org/correction, http://schema.org/creator, http://schema.org/dateCreated, http://schema.org/dateModified, http://schema.org/datePublished, http://schema.org/description, http://schema.org/disambiguatingDescription, http://schema.org/discussionUrl, http://schema.org/editor, http://schema.org/educationalAlignment, http://schema.org/educationalUse, http://schema.org/encoding, http://schema.org/encodingFormat, http://schema.org/encodings, http://schema.org/exampleOfWork, http://schema.org/expires, http://schema.org/fileFormat, http://schema.org/funder, http://schema.org/genre, http://schema.org/hasPart, http://schema.org/headline, http://schema.org/identifier, http://schema.org/image, http://schema.org/inLanguage, http://schema.org/interactionStatistic, http://schema.org/interactivityType, http://schema.org/isAccessibleForFree, http://schema.org/isBasedOn, http://schema.org/isBasedOnUrl, http://schema.org/isFamilyFriendly, http://schema.org/isPartOf, http://schema.org/keywords, http://schema.org/learningResourceType, http://schema.org/license, http://schema.org/locationCreated, http://schema.org/mainEntity, http://schema.org/mainEntityOfPage, http://schema.org/material, http://schema.org/mentions, http://schema.org/name, http://schema.org/offers, http://schema.org/pageEnd, http://schema.org/pageStart, http://schema.org/pagination, http://schema.org/position, http://schema.org/potentialAction, http://schema.org/producer, http://schema.org/provider, http://schema.org/publication, http://schema.org/publisher, http://schema.org/publisherImprint, http://schema.org/publishingPrinciples, http://schema.org/recordedAt, http://schema.org/releasedEvent, http://schema.org/review, http://schema.org/reviews, http://schema.org/sameAs, http://schema.org/schemaVersion, http://schema.org/sdDatePublished, http://schema.org/sdLicense, http://schema.org/sdPublisher, http://schema.org/sourceOrganization, http://schema.org/spatialCoverage, http://schema.org/speakable, http://schema.org/sponsor, http://schema.org/subjectOf, http://schema.org/temporalCoverage, http://schema.org/text, http://schema.org/thumbnailUrl, http://schema.org/timeRequired, http://schema.org/translationOfWork, http://schema.org/translator, http://schema.org/typicalAgeRange, http://schema.org/url, http://schema.org/version, http://schema.org/video, http://schema.org/wordCount, http://schema.org/workExample, http://schema.org/workTranslation","","","","http://pending.schema.org"
"http://schema.org/AnalysisNewsArticle","AnalysisNewsArticle","An AnalysisNewsArticle is a <a class=""localLink"" href=""http://schema.org/NewsArticle"">NewsArticle</a> that, while based on factual reporting, incorporates the expertise of the author/producer, offering interpretations and conclusions.","http://schema.org/NewsArticle","","","http://schema.org/about, http://schema.org/accessMode, http://schema.org/accessModeSufficient, http://schema.org/accessibilityAPI, http://schema.org/accessibilityControl, http://schema.org/accessibilityFeature, http://schema.org/accessibilityHazard, http://schema.org/accessibilitySummary, http://schema.org/accountablePerson, http://schema.org/additionalType, http://schema.org/aggregateRating, http://schema.org/alternateName, http://schema.org/alternativeHeadline, http://schema.org/articleBody, http://schema.org/articleSection, http://schema.org/associatedMedia, http://schema.org/audience, http://schema.org/audio, http://schema.org/author, http://schema.org/award, http://schema.org/awards, http://schema.org/backstory, http://schema.org/character, http://schema.org/citation, http://schema.org/comment, http://schema.org/commentCount, http://schema.org/contentLocation, http://schema.org/contentRating, http://schema.org/contentReferenceTime, http://schema.org/contributor, http://schema.org/copyrightHolder, http://schema.org/copyrightYear, http://schema.org/correction, http://schema.org/creator, http://schema.org/dateCreated, http://schema.org/dateModified, http://schema.org/datePublished, http://schema.org/dateline, http://schema.org/description, http://schema.org/disambiguatingDescription, http://schema.org/discussionUrl, http://schema.org/editor, http://schema.org/educationalAlignment, http://schema.org/educationalUse, http://schema.org/encoding, http://schema.org/encodingFormat, http://schema.org/encodings, http://schema.org/exampleOfWork, http://schema.org/expires, http://schema.org/fileFormat, http://schema.org/funder, http://schema.org/genre, http://schema.org/hasPart, http://schema.org/headline, http://schema.org/identifier, http://schema.org/image, http://schema.org/inLanguage, http://schema.org/interactionStatistic, http://schema.org/interactivityType, http://schema.org/isAccessibleForFree, http://schema.org/isBasedOn, http://schema.org/isBasedOnUrl, http://schema.org/isFamilyFriendly, http://schema.org/isPartOf, http://schema.org/keywords, http://schema.org/learningResourceType, http://schema.org/license, http://schema.org/locationCreated, http://schema.org/mainEntity, http://schema.org/mainEntityOfPage, http://schema.org/material, http://schema.org/mentions, http://schema.org/name, http://schema.org/offers, http://schema.org/pageEnd, http://schema.org/pageStart, http://schema.org/pagination, http://schema.org/position, http://schema.org/potentialAction, http://schema.org/printColumn, http://schema.org/printEdition, http://schema.org/printPage, http://schema.org/printSection, http://schema.org/producer, http://schema.org/provider, http://schema.org/publication, http://schema.org/publisher, http://schema.org/publisherImprint, http://schema.org/publishingPrinciples, http://schema.org/recordedAt, http://schema.org/releasedEvent, http://schema.org/review, http://schema.org/reviews, http://schema.org/sameAs, http://schema.org/schemaVersion, http://schema.org/sdDatePublished, http://schema.org/sdLicense, http://schema.org/sdPublisher, http://schema.org/sourceOrganization, http://schema.org/spatialCoverage, http://schema.org/speakable, http://schema.org/sponsor, http://schema.org/subjectOf, http://schema.org/temporalCoverage, http://schema.org/text, http://schema.org/thumbnailUrl, http://schema.org/timeRequired, http://schema.org/translationOfWork, http://schema.org/translator, http://schema.org/typicalAgeRange, http://schema.org/url, http://schema.org/version, http://schema.org/video, http://schema.org/wordCount, http://schema.org/workExample, http://schema.org/workTranslation","","","","http://pending.schema.org"
"http://schema.org/AskPublicNewsArticle","AskPublicNewsArticle","A <a class=""localLink"" href=""http://schema.org/NewsArticle"">NewsArticle</a> expressing an open call by a <a class=""localLink"" href=""http://schema.org/NewsMediaOrganization"">NewsMediaOrganization</a> asking the public for input, insights, clarifications, anecdotes, documentation, etc., on an issue, for reporting purposes.","http://schema.org/NewsArticle","","","http://schema.org/about, http://schema.org/accessMode, http://schema.org/accessModeSufficient, http://schema.org/accessibilityAPI, http://schema.org/accessibilityControl, http://schema.org/accessibilityFeature, http://schema.org/accessibilityHazard, http://schema.org/accessibilitySummary, http://schema.org/accountablePerson, http://schema.org/additionalType, http://schema.org/aggregateRating, http://schema.org/alternateName, http://schema.org/alternativeHeadline, http://schema.org/articleBody, http://schema.org/articleSection, http://schema.org/associatedMedia, http://schema.org/audience, http://schema.org/audio, http://schema.org/author, http://schema.org/award, http://schema.org/awards, http://schema.org/backstory, http://schema.org/character, http://schema.org/citation, http://schema.org/comment, http://schema.org/commentCount, http://schema.org/contentLocation, http://schema.org/contentRating, http://schema.org/contentReferenceTime, http://schema.org/contributor, http://schema.org/copyrightHolder, http://schema.org/copyrightYear, http://schema.org/correction, http://schema.org/creator, http://schema.org/dateCreated, http://schema.org/dateModified, http://schema.org/datePublished, http://schema.org/dateline, http://schema.org/description, http://schema.org/disambiguatingDescription, http://schema.org/discussionUrl, http://schema.org/editor, http://schema.org/educationalAlignment, http://schema.org/educationalUse, http://schema.org/encoding, http://schema.org/encodingFormat, http://schema.org/encodings, http://schema.org/exampleOfWork, http://schema.org/expires, http://schema.org/fileFormat, http://schema.org/funder, http://schema.org/genre, http://schema.org/hasPart, http://schema.org/headline, http://schema.org/identifier, http://schema.org/image, http://schema.org/inLanguage, http://schema.org/interactionStatistic, http://schema.org/interactivityType, http://schema.org/isAccessibleForFree, http://schema.org/isBasedOn, http://schema.org/isBasedOnUrl, http://schema.org/isFamilyFriendly, http://schema.org/isPartOf, http://schema.org/keywords, http://schema.org/learningResourceType, http://schema.org/license, http://schema.org/locationCreated, http://schema.org/mainEntity, http://schema.org/mainEntityOfPage, http://schema.org/material, http://schema.org/mentions, http://schema.org/name, http://schema.org/offers, http://schema.org/pageEnd, http://schema.org/pageStart, http://schema.org/pagination, http://schema.org/position, http://schema.org/potentialAction, http://schema.org/printColumn, http://schema.org/printEdition, http://schema.org/printPage, http://schema.org/printSection, http://schema.org/producer, http://schema.org/provider, http://schema.org/publication, http://schema.org/publisher, http://schema.org/publisherImprint, http://schema.org/publishingPrinciples, http://schema.org/recordedAt, http://schema.org/releasedEvent, http://schema.org/review, http://schema.org/reviews, http://schema.org/sameAs, http://schema.org/schemaVersion, http://schema.org/sdDatePublished, http://schema.org/sdLicense, http://schema.org/sdPublisher, http://schema.org/sourceOrganization, http://schema.org/spatialCoverage, http://schema.org/speakable, http://schema.org/sponsor, http://schema.org/subjectOf, http://schema.org/temporalCoverage, http://schema.org/text, http://schema.org/thumbnailUrl, http://schema.org/timeRequired, http://schema.org/translationOfWork, http://schema.org/translator, http://schema.org/typicalAgeRange, http://schema.org/url, http://schema.org/version, http://schema.org/video, http://schema.org/wordCount, http://schema.org/workExample, http://schema.org/workTranslation","","","","http://pending.schema.org"
"http://schema.org/AuthoritativeLegalValue","AuthoritativeLegalValue","Indicates that the publisher gives some special status to the publication of the document. (""The Queens Printer"" version of a UK Act of Parliament, or the PDF version of a Directive published by the EU Office of Publications). Something ""Authoritative"" is considered to be also <a class=""localLink"" href=""http://schema.org/OfficialLegalValue"">OfficialLegalValue</a>"".","","http://schema.org/LegalValueLevel","","","","","","http://pending.schema.org"
"http://schema.org/BackgroundNewsArticle","BackgroundNewsArticle","A <a class=""localLink"" href=""http://schema.org/NewsArticle"">NewsArticle</a> providing historical context, definition and detail on a specific topic (aka ""explainer"" or ""backgrounder""). For example, an in-depth article or frequently-asked-questions (<a href=""https://en.wikipedia.org/wiki/FAQ"">FAQ</a>) document on topics such as Climate Change or the European Union. Other kinds of background material from a non-news setting are often described using <a class=""localLink"" href=""http://schema.org/Book"">Book</a> or <a class=""localLink"" href=""http://schema.org/Article"">Article</a>, in particular <a class=""localLink"" href=""http://schema.org/ScholarlyArticle"">ScholarlyArticle</a>. See also <a class=""localLink"" href=""http://schema.org/NewsArticle"">NewsArticle</a> for related vocabulary from a learning/education perspective.","http://schema.org/NewsArticle","","","http://schema.org/about, http://schema.org/accessMode, http://schema.org/accessModeSufficient, http://schema.org/accessibilityAPI, http://schema.org/accessibilityControl, http://schema.org/accessibilityFeature, http://schema.org/accessibilityHazard, http://schema.org/accessibilitySummary, http://schema.org/accountablePerson, http://schema.org/additionalType, http://schema.org/aggregateRating, http://schema.org/alternateName, http://schema.org/alternativeHeadline, http://schema.org/articleBody, http://schema.org/articleSection, http://schema.org/associatedMedia, http://schema.org/audience, http://schema.org/audio, http://schema.org/author, http://schema.org/award, http://schema.org/awards, http://schema.org/backstory, http://schema.org/character, http://schema.org/citation, http://schema.org/comment, http://schema.org/commentCount, http://schema.org/contentLocation, http://schema.org/contentRating, http://schema.org/contentReferenceTime, http://schema.org/contributor, http://schema.org/copyrightHolder, http://schema.org/copyrightYear, http://schema.org/correction, http://schema.org/creator, http://schema.org/dateCreated, http://schema.org/dateModified, http://schema.org/datePublished, http://schema.org/dateline, http://schema.org/description, http://schema.org/disambiguatingDescription, http://schema.org/discussionUrl, http://schema.org/editor, http://schema.org/educationalAlignment, http://schema.org/educationalUse, http://schema.org/encoding, http://schema.org/encodingFormat, http://schema.org/encodings, http://schema.org/exampleOfWork, http://schema.org/expires, http://schema.org/fileFormat, http://schema.org/funder, http://schema.org/genre, http://schema.org/hasPart, http://schema.org/headline, http://schema.org/identifier, http://schema.org/image, http://schema.org/inLanguage, http://schema.org/interactionStatistic, http://schema.org/interactivityType, http://schema.org/isAccessibleForFree, http://schema.org/isBasedOn, http://schema.org/isBasedOnUrl, http://schema.org/isFamilyFriendly, http://schema.org/isPartOf, http://schema.org/keywords, http://schema.org/learningResourceType, http://schema.org/license, http://schema.org/locationCreated, http://schema.org/mainEntity, http://schema.org/mainEntityOfPage, http://schema.org/material, http://schema.org/mentions, http://schema.org/name, http://schema.org/offers, http://schema.org/pageEnd, http://schema.org/pageStart, http://schema.org/pagination, http://schema.org/position, http://schema.org/potentialAction, http://schema.org/printColumn, http://schema.org/printEdition, http://schema.org/printPage, http://schema.org/printSection, http://schema.org/producer, http://schema.org/provider, http://schema.org/publication, http://schema.org/publisher, http://schema.org/publisherImprint, http://schema.org/publishingPrinciples, http://schema.org/recordedAt, http://schema.org/releasedEvent, http://schema.org/review, http://schema.org/reviews, http://schema.org/sameAs, http://schema.org/schemaVersion, http://schema.org/sdDatePublished, http://schema.org/sdLicense, http://schema.org/sdPublisher, http://schema.org/sourceOrganization, http://schema.org/spatialCoverage, http://schema.org/speakable, http://schema.org/sponsor, http://schema.org/subjectOf, http://schema.org/temporalCoverage, http://schema.org/text, http://schema.org/thumbnailUrl, http://schema.org/timeRequired, http://schema.org/translationOfWork, http://schema.org/translator, http://schema.org/typicalAgeRange, http://schema.org/url, http://schema.org/version, http://schema.org/video, http://schema.org/wordCount, http://schema.org/workExample, http://schema.org/workTranslation","","","","http://pending.schema.org"
"http://schema.org/BedType","BedType","A type of bed. This is used for indicating the bed or beds available in an accommodation.","http://schema.org/QualitativeValue","","","http://schema.org/additionalProperty, http://schema.org/additionalType, http://schema.org/alternateName, http://schema.org/description, http://schema.org/disambiguatingDescription, http://schema.org/equal, http://schema.org/greater, http://schema.org/greaterOrEqual, http://schema.org/identifier, http://schema.org/image, http://schema.org/lesser, http://schema.org/lesserOrEqual, http://schema.org/mainEntityOfPage, http://schema.org/name, http://schema.org/nonEqual, http://schema.org/potentialAction, http://schema.org/sameAs, http://schema.org/subjectOf, http://schema.org/supersededBy, http://schema.org/url, http://schema.org/valueReference","","","","http://pending.schema.org"
"http://schema.org/BroadcastFrequencySpecification","BroadcastFrequencySpecification","The frequency in MHz and the modulation used for a particular BroadcastService.","http://schema.org/Intangible","","","http://schema.org/additionalType, http://schema.org/alternateName, http://schema.org/broadcastFrequencyValue, http://schema.org/description, http://schema.org/disambiguatingDescription, http://schema.org/identifier, http://schema.org/image, http://schema.org/mainEntityOfPage, http://schema.org/name, http://schema.org/potentialAction, http://schema.org/sameAs, http://schema.org/subjectOf, http://schema.org/url","","","","http://pending.schema.org"
"http://schema.org/BrokerageAccount","BrokerageAccount","An account that allows an investor to deposit funds and place investment orders with a licensed broker or brokerage firm.","http://schema.org/InvestmentOrDeposit","","","http://schema.org/additionalType, http://schema.org/aggregateRating, http://schema.org/alternateName, http://schema.org/amount, http://schema.org/annualPercentageRate, http://schema.org/areaServed, http://schema.org/audience, http://schema.org/availableChannel, http://schema.org/award, http://schema.org/brand, http://schema.org/broker, http://schema.org/category, http://schema.org/description, http://schema.org/disambiguatingDescription, http://schema.org/feesAndCommissionsSpecification, http://schema.org/hasOfferCatalog, http://schema.org/hoursAvailable, http://schema.org/identifier, http://schema.org/image, http://schema.org/interestRate, http://schema.org/isRelatedTo, http://schema.org/isSimilarTo, http://schema.org/logo, http://schema.org/mainEntityOfPage, http://schema.org/name, http://schema.org/offers, http://schema.org/potentialAction, http://schema.org/produces, http://schema.org/provider, http://schema.org/providerMobility, http://schema.org/review, http://schema.org/sameAs, http://schema.org/serviceArea, http://schema.org/serviceAudience, http://schema.org/serviceOutput, http://schema.org/serviceType, http://schema.org/subjectOf, http://schema.org/termsOfService, http://schema.org/url","","","","http://pending.schema.org"
