"id","label","comment","subTypeOf","enumerationtype","equivalentClass","properties","subTypes","supersedes","supersededBy","isPartOf"
"http://schema.org/Abdomen","Abdomen","Abdomen clinical examination.","","http://schema.org/PhysicalExam","","","","","","http://health-lifesci.schema.org"
"http://schema.org/ActiveNotRecruiting","ActiveNotRecruiting","Active, but not recruiting new participants.","","http://schema.org/MedicalStudyStatus","","","","","","http://health-lifesci.schema.org"
"http://schema.org/AerobicActivity","AerobicActivity","Physical activity of relatively low intensity that depends primarily on the aerobic energy-generating process; during activity, the aerobic metabolism uses oxygen to adequately meet energy demands during exercise.","","http://schema.org/PhysicalActivityCategory","","","","","","http://health-lifesci.schema.org"
"http://schema.org/AnaerobicActivity","AnaerobicActivity","Physical activity that is of high-intensity which utilizes the anaerobic metabolism of the body.","","http://schema.org/PhysicalActivityCategory","","","","","","http://health-lifesci.schema.org"
"http://schema.org/AnatomicalStructure","AnatomicalStructure","Any part of the human body, typically a component of an anatomical system. Organs, tissues, and cells are all anatomical structures.","http://schema.org/MedicalEntity","","","http://schema.org/associatedPathophysiology, http://schema.org/bodyLocation, http://schema.org/code, http://schema.org/connectedTo, http://schema.org/diagram, http://schema.org/function, http://schema.org/guideline, http://schema.org/legalStatus, http://schema.org/medicineSystem, http://schema.org/partOfSystem, http://schema.org/recognizingAuthority, http://schema.org/relatedCondition, http://schema.org/relatedTherapy, http://schema.org/relevantSpecialty, http://schema.org/study, http://schema.org/subStructure","http://schema.org/Bone, http://schema.org/BrainStructure, http://schema.org/Joint, http://schema.org/Ligament, http://schema.org/Muscle, http://schema.org/Nerve, http://schema.org/Vessel","","","http://health-lifesci.schema.org"
"http://schema.org/AnatomicalSystem","AnatomicalSystem","An anatomical system is a group of anatomical structures that work together to perform a certain task. Anatomical systems, such as organ systems, are one organizing principle of anatomy, and can includes circulatory, digestive, endocrine, integumentary, immune, lymphatic, muscular, nervous, reproductive, respiratory, skeletal, urinary, vestibular, and other systems.","http://schema.org/MedicalEntity","","","http://schema.org/associatedPathophysiology, http://schema.org/code, http://schema.org/comprisedOf, http://schema.org/guideline, http://schema.org/legalStatus, http://schema.org/medicineSystem, http://schema.org/recognizingAuthority, http://schema.org/relatedCondition, http://schema.org/relatedStructure, http://schema.org/relatedTherapy, http://schema.org/relevantSpecialty, http://schema.org/study","","","","http://health-lifesci.schema.org"
"http://schema.org/Anesthesia","Anesthesia","A specific branch of medical science that pertains to study of anesthetics and their application.","","http://schema.org/MedicalSpecialty","","","","","","http://health-lifesci.schema.org"
"http://schema.org/Appearance","Appearance","Appearance assessment with clinical examination.","","http://schema.org/PhysicalExam","","","","","","http://health-lifesci.schema.org"
"http://schema.org/ApprovedIndication","ApprovedIndication","An indication for a medical therapy that has been formally specified or approved by a regulatory body that regulates use of the therapy; for example, the US FDA approves indications for most drugs in the US.","http://schema.org/MedicalIndication","","","http://schema.org/code, http://schema.org/guideline, http://schema.org/legalStatus, http://schema.org/medicineSystem, http://schema.org/recognizingAuthority, http://schema.org/relevantSpecialty, http://schema.org/study","","","","http://health-lifesci.schema.org"
"http://schema.org/Artery","Artery","A type of blood vessel that specifically carries blood away from the heart.","http://schema.org/Vessel","","http://purl.bioontology.org/ontology/SNOMEDCT/51114001","http://schema.org/arterialBranch, http://schema.org/associatedPathophysiology, http://schema.org/bodyLocation, http://schema.org/code, http://schema.org/connectedTo, http://schema.org/diagram, http://schema.org/function, http://schema.org/guideline, http://schema.org/legalStatus, http://schema.org/medicineSystem, http://schema.org/partOfSystem, http://schema.org/recognizingAuthority, http://schema.org/relatedCondition, http://schema.org/relatedTherapy, http://schema.org/relevantSpecialty, http://schema.org/source, http://schema.org/study, http://schema.org/subStructure, http://schema.org/supplyTo","","","","http://health-lifesci.schema.org"
"http://schema.org/Ayurvedic","Ayurvedic","A system of medicine that originated in India over thousands of years and that focuses on integrating and balancing the body, mind, and spirit.","","http://schema.org/MedicineSystem","","","","","","http://health-lifesci.schema.org"
"http://schema.org/Bacteria","Bacteria","Pathogenic bacteria that cause bacterial infection.","","http://schema.org/InfectiousAgentClass","","","","","","http://health-lifesci.schema.org"
"http://schema.org/Balance","Balance","Physical activity that is engaged to help maintain posture and balance.","","http://schema.org/PhysicalActivityCategory","","","","","","http://health-lifesci.schema.org"
"http://schema.org/BloodTest","BloodTest","A medical test performed on a sample of a patient's blood.","http://schema.org/MedicalTest","","","http://schema.org/affectedBy, http://schema.org/code, http://schema.org/guideline, http://schema.org/legalStatus, http://schema.org/medicineSystem, http://schema.org/normalRange, http://schema.org/recognizingAuthority, http://schema.org/relevantSpecialty, http://schema.org/signDetected, http://schema.org/study, http://schema.org/usedToDiagnose, http://schema.org/usesDevice","","","","http://health-lifesci.schema.org"
"http://schema.org/Bone","Bone","Rigid connective tissue that comprises up the skeletal structure of the human body.","http://schema.org/AnatomicalStructure","","","http://schema.org/associatedPathophysiology, http://schema.org/bodyLocation, http://schema.org/code, http://schema.org/connectedTo, http://schema.org/diagram, http://schema.org/function, http://schema.org/guideline, http://schema.org/legalStatus, http://schema.org/medicineSystem, http://schema.org/partOfSystem, http://schema.org/recognizingAuthority, http://schema.org/relatedCondition, http://schema.org/relatedTherapy, http://schema.org/relevantSpecialty, http://schema.org/study, http://schema.org/subStructure","","","","http://health-lifesci.schema.org"
"http://schema.org/BrainStructure","BrainStructure","Any anatomical structure which pertains to the soft nervous tissue functioning as the coordinating center of sensation and intellectual and nervous activity.","http://schema.org/AnatomicalStructure","","","http://schema.org/associatedPathophysiology, http://schema.org/bodyLocation, http://schema.org/code, http://schema.org/connectedTo, http://schema.org/diagram, http://schema.org/function, http://schema.org/guideline, http://schema.org/legalStatus, http://schema.org/medicineSystem, http://schema.org/partOfSystem, http://schema.org/recognizingAuthority, http://schema.org/relatedCondition, http://schema.org/relatedTherapy, http://schema.org/relevantSpecialty, http://schema.org/study, http://schema.org/subStructure","","","","http://health-lifesci.schema.org"
"http://schema.org/CT","CT","X-ray computed tomography imaging.","","http://schema.org/MedicalImagingTechnique","","","","","","http://health-lifesci.schema.org"
"http://schema.org/Cardiovascular","Cardiovascular","A specific branch of medical science that pertains to diagnosis and treatment of disorders of heart and vasculature.","","http://schema.org/MedicalSpecialty","","","","","","http://health-lifesci.schema.org"
"http://schema.org/CardiovascularExam","CardiovascularExam","Cardiovascular system assessment withclinical examination.","","http://schema.org/PhysicalExam","","","","","","http://health-lifesci.schema.org"
"http://schema.org/CaseSeries","CaseSeries","A case series (also known as a clinical series) is a medical research study that tracks patients with a known exposure given similar treatment or examines their medical records for exposure and outcome. A case series can be retrospective or prospective and usually involves a smaller number of patients than the more powerful case-control studies or randomized controlled trials. Case series may be consecutive or non-consecutive, depending on whether all cases presenting to the reporting authors over a period of time were included, or only a selection.","","http://schema.org/MedicalObservationalStudyDesign","","","","","","http://health-lifesci.schema.org"
"http://schema.org/Chiropractic","Chiropractic","A system of medicine focused on the relationship between the body's structure, mainly the spine, and its functioning.","","http://schema.org/MedicineSystem","","","","","","http://health-lifesci.schema.org"
"http://schema.org/Clinician","Clinician","Medical clinicians, including practicing physicians and other medical professionals involved in clinical practice.","","http://schema.org/MedicalAudience","","","","","","http://health-lifesci.schema.org"
"http://schema.org/CohortStudy","CohortStudy","Also known as a panel study. A cohort study is a form of longitudinal study used in medicine and social science. It is one type of study design and should be compared with a cross-sectional study.  A cohort is a group of people who share a common characteristic or experience within a defined period (e.g., are born, leave school, lose their job, are exposed to a drug or a vaccine, etc.). The comparison group may be the general population from which the cohort is drawn, or it may be another cohort of persons thought to have had little or no exposure to the substance under investigation, but otherwise similar. Alternatively, subgroups within the cohort may be compared with each other.","","http://schema.org/MedicalObservationalStudyDesign","","","","","","http://health-lifesci.schema.org"
"http://schema.org/CommunityHealth","CommunityHealth","A field of public health focusing on improving health characteristics of a defined population in relation with their geographical or environment areas","http://schema.org/MedicalBusiness","http://schema.org/MedicalSpecialty","","","","","","http://health-lifesci.schema.org"
"http://schema.org/Completed","Completed","Completed.","","http://schema.org/MedicalStudyStatus","","","","","","http://health-lifesci.schema.org"
"http://schema.org/CrossSectional","CrossSectional","Studies carried out on pre-existing data (usually from 'snapshot' surveys), such as that collected by the Census Bureau. Sometimes called Prevalence Studies.","","http://schema.org/MedicalObservationalStudyDesign","","","","","","http://health-lifesci.schema.org"
"http://schema.org/DDxElement","DDxElement","An alternative, closely-related condition typically considered later in the differential diagnosis process along with the signs that are used to distinguish it.","http://schema.org/MedicalIntangible","","","http://schema.org/code, http://schema.org/diagnosis, http://schema.org/distinguishingSign, http://schema.org/guideline, http://schema.org/legalStatus, http://schema.org/medicineSystem, http://schema.org/recognizingAuthority, http://schema.org/relevantSpecialty, http://schema.org/study","","","","http://health-lifesci.schema.org"
"http://schema.org/Dentistry","Dentistry","A branch of medicine that is involved in the dental care.","","http://schema.org/MedicalSpecialty","","","","","","http://health-lifesci.schema.org"
"http://schema.org/Dermatologic","Dermatologic","Something relating to or practicing dermatology","","http://schema.org/MedicalSpecialty","","","","","http://schema.org/Dermatology","http://health-lifesci.schema.org"
"http://schema.org/Dermatology","Dermatology","A specific branch of medical science that pertains to diagnosis and treatment of disorders of skin.","http://schema.org/MedicalBusiness","http://schema.org/MedicalSpecialty","","","","http://schema.org/Dermatologic","","http://health-lifesci.schema.org"
"http://schema.org/Diagnostic","Diagnostic","A medical device used for diagnostic purposes.","","http://schema.org/MedicalDevicePurpose","","","","","","http://health-lifesci.schema.org"
"http://schema.org/DiagnosticLab","DiagnosticLab","A medical laboratory that offers on-site or off-site diagnostic services.","http://schema.org/MedicalOrganization","","","http://schema.org/availableTest, http://schema.org/medicalSpecialty","","","","http://health-lifesci.schema.org"
"http://schema.org/DiagnosticProcedure","DiagnosticProcedure","A medical procedure intended primarily for diagnostic, as opposed to therapeutic, purposes.","http://schema.org/MedicalProcedure","","","http://schema.org/bodyLocation, http://schema.org/code, http://schema.org/followup, http://schema.org/guideline, http://schema.org/howPerformed, http://schema.org/indication, http://schema.org/legalStatus, http://schema.org/medicineSystem, http://schema.org/outcome, http://schema.org/preparation, http://schema.org/procedureType, http://schema.org/recognizingAuthority, http://schema.org/relevantSpecialty, http://schema.org/status, http://schema.org/study","","","","http://health-lifesci.schema.org"
"http://schema.org/Diet","Diet","A strategy of regulating the intake of food to achieve or maintain a specific health-related goal.","http://schema.org/CreativeWork, http://schema.org/LifestyleModification","","","http://schema.org/code, http://schema.org/dietFeatures, http://schema.org/endorsers, http://schema.org/expertConsiderations, http://schema.org/guideline, http://schema.org/legalStatus, http://schema.org/medicineSystem, http://schema.org/overview, http://schema.org/physiologicalBenefits, http://schema.org/recognizingAuthority, http://schema.org/relevantSpecialty, http://schema.org/risks, http://schema.org/study","","","","http://health-lifesci.schema.org"
"http://schema.org/DietNutrition","DietNutrition","Dietetic and nutrition as a medical speciality.","http://schema.org/MedicalBusiness","http://schema.org/MedicalSpecialty","","","","","","http://health-lifesci.schema.org"
"http://schema.org/DietarySupplement","DietarySupplement","A product taken by mouth that contains a dietary ingredient intended to supplement the diet. Dietary ingredients may include vitamins, minerals, herbs or other botanicals, amino acids, and substances such as enzymes, organ tissues, glandulars and metabolites.","http://schema.org/Substance","","","http://schema.org/activeIngredient, http://schema.org/background, http://schema.org/code, http://schema.org/guideline, http://schema.org/isProprietary, http://schema.org/legalStatus, http://schema.org/maximumIntake, http://schema.org/mechanismOfAction, http://schema.org/medicineSystem, http://schema.org/nonProprietaryName, http://schema.org/proprietaryName, http://schema.org/recognizingAuthority, http://schema.org/recommendedIntake, http://schema.org/relevantSpecialty, http://schema.org/safetyConsideration, http://schema.org/study, http://schema.org/targetPopulation","","","","http://health-lifesci.schema.org"
"http://schema.org/DoseSchedule","DoseSchedule","A specific dosing schedule for a drug or supplement.","http://schema.org/MedicalIntangible","","","http://schema.org/code, http://schema.org/doseUnit, http://schema.org/doseValue, http://schema.org/frequency, http://schema.org/guideline, http://schema.org/legalStatus, http://schema.org/medicineSystem, http://schema.org/recognizingAuthority, http://schema.org/relevantSpecialty, http://schema.org/study, http://schema.org/targetPopulation","http://schema.org/MaximumDoseSchedule, http://schema.org/RecommendedDoseSchedule, http://schema.org/ReportedDoseSchedule","","","http://health-lifesci.schema.org"
"http://schema.org/DoubleBlindedTrial","DoubleBlindedTrial","A trial design in which neither the researcher nor the patient knows the details of the treatment the patient was randomly assigned to.","","http://schema.org/MedicalTrialDesign","","","","","","http://health-lifesci.schema.org"
