"id","label","comment","subTypeOf","enumerationtype","equivalentClass","properties","subTypes","supersedes","supersededBy","isPartOf"
"http://schema.org/3DModel","3DModel","A 3D model represents some kind of 3D content, which may have <a class=""localLink"" href=""http://schema.org/encoding"">encoding</a>s in one or more <a class=""localLink"" href=""http://schema.org/MediaObject"">MediaObject</a>s. Many 3D formats are available (e.g. see <a href=""https://en.wikipedia.org/wiki/Category:3D_graphics_file_formats"">Wikipedia</a>); specific encoding formats can be represented using the <a class=""localLink"" href=""http://schema.org/encodingFormat"">encodingFormat</a> property applied to the relevant <a class=""localLink"" href=""http://schema.org/MediaObject"">MediaObject</a>. For thecase of a single file published after Zip compression, the convention of appending '+zip' to the <a class=""localLink"" href=""http://schema.org/encodingFormat"">encodingFormat</a> can be used. Geospatial, AR/VR, artistic/animation, gaming, engineering and scientific content can all be represented using <a class=""localLink"" href=""http://schema.org/3DModel"">3DModel</a>.","http://schema.org/MediaObject","","","http://schema.org/isResizable","","","","http://pending.schema.org"
"http://schema.org/AdvertiserContentArticle","AdvertiserContentArticle","An <a class=""localLink"" href=""http://schema.org/Article"">Article</a> that an external entity has paid to place or to produce to its specifications. Includes <a href=""https://en.wikipedia.org/wiki/Advertorial"">advertorials</a>, sponsored content, native advertising and other paid content.","http://schema.org/Article","","","http://schema.org/backstory","","","","http://pending.schema.org"
"http://schema.org/AnalysisNewsArticle","AnalysisNewsArticle","An AnalysisNewsArticle is a <a class=""localLink"" href=""http://schema.org/NewsArticle"">NewsArticle</a> that, while based on factual reporting, incorporates the expertise of the author/producer, offering interpretations and conclusions.","http://schema.org/NewsArticle","","","","","","","http://pending.schema.org"
"http://schema.org/ArchiveComponent","ArchiveComponent","An intangible type to be applied to any archive content, carrying with it a set of properties required to describe archival items and collections.","http://schema.org/CreativeWork","","","http://schema.org/abstract, http://schema.org/acquireLicensePage, http://schema.org/conditionsOfAccess, http://schema.org/contentReferenceTime, http://schema.org/correction, http://schema.org/creativeWorkStatus, http://schema.org/holdingArchive, http://schema.org/itemLocation, http://schema.org/maintainer, http://schema.org/materialExtent, http://schema.org/sdDatePublished, http://schema.org/sdLicense, http://schema.org/sdPublisher, http://schema.org/usageInfo","","","","http://pending.schema.org"
"http://schema.org/ArchiveOrganization","ArchiveOrganization","An organization with archival holdings. An organization which keeps and preserves archival material and typically makes it accessible to the public.","http://schema.org/LocalBusiness","","","http://schema.org/archiveHeld","","","","http://pending.schema.org"
"http://schema.org/AskPublicNewsArticle","AskPublicNewsArticle","A <a class=""localLink"" href=""http://schema.org/NewsArticle"">NewsArticle</a> expressing an open call by a <a class=""localLink"" href=""http://schema.org/NewsMediaOrganization"">NewsMediaOrganization</a> asking the public for input, insights, clarifications, anecdotes, documentation, etc., on an issue, for reporting purposes.","http://schema.org/NewsArticle","","","","","","","http://pending.schema.org"
"http://schema.org/AuthenticContent","AuthenticContent","AuthenticMediaObject: An unaltered image that is presented in an accurate way.","","http://schema.org/MediaManipulationRatingEnumeration","","","","","","http://pending.schema.org"
"http://schema.org/AuthoritativeLegalValue","AuthoritativeLegalValue","Indicates that the publisher gives some special status to the publication of the document. (""The Queens Printer"" version of a UK Act of Parliament, or the PDF version of a Directive published by the EU Office of Publications). Something ""Authoritative"" is considered to be also <a class=""localLink"" href=""http://schema.org/OfficialLegalValue"">OfficialLegalValue</a>"".","","http://schema.org/LegalValueLevel","","","","","","http://pending.schema.org"
"http://schema.org/BackgroundNewsArticle","BackgroundNewsArticle","A <a class=""localLink"" href=""http://schema.org/NewsArticle"">NewsArticle</a> providing historical context, definition and detail on a specific topic (aka ""explainer"" or ""backgrounder""). For example, an in-depth article or frequently-asked-questions (<a href=""https://en.wikipedia.org/wiki/FAQ"">FAQ</a>) document on topics such as Climate Change or the European Union. Other kinds of background material from a non-news setting are often described using <a class=""localLink"" href=""http://schema.org/Book"">Book</a> or <a class=""localLink"" href=""http://schema.org/Article"">Article</a>, in particular <a class=""localLink"" href=""http://schema.org/ScholarlyArticle"">ScholarlyArticle</a>. See also <a class=""localLink"" href=""http://schema.org/NewsArticle"">NewsArticle</a> for related vocabulary from a learning/education perspective.","http://schema.org/NewsArticle","","","","","","","http://pending.schema.org"
"http://schema.org/BenefitsHealthAspect","BenefitsHealthAspect","Content about the benefits and advantages of usage or utilization of topic.","","http://schema.org/HealthAspectEnumeration","","","","","","http://pending.schema.org"
