stats.criteria.itemtype,COUNT_DISTINCT(domain)
http://schema.org/WebSite,2447981
http://schema.org/SearchAction,2429681
http://schema.org/WebPage,2063878
http://schema.org/Product,1498610
http://schema.org/ImageObject,1429636
http://schema.org/Offer,1355558
http://schema.org/Person,1293986
http://schema.org/BlogPosting,1241923
http://schema.org/PostalAddress,1211643
http://schema.org/Article,1135657
http://schema.org/Organization,1070865
http://schema.org/Blog,1017531
http://schema.org/LocalBusiness,588746
http://schema.org/AggregateRating,525550
http://schema.org/WPFooter,470947
http://schema.org/WPHeader,463260
http://schema.org/SiteNavigationElement,459722
http://schema.org/WPSideBar,381273
http://schema.org/CreativeWork,358017
http://schema.org/Review,345302
http://schema.org/ViewAction,267573
http://schema.org/EntryPoint,267112
http://schema.org/Place,237350
http://schema.org/Thing,227483
http://schema.org/Rating,222119
http://schema.org/VideoObject,207408
http://schema.org/Event,194174
http://schema.org/GeoCoordinates,151564
http://schema.org/UserComments,94257
http://schema.org/,57513
http://schema.org/CollectionPage,51396
http://schema.org/Restaurant,48445
http://schema.org/ProfilePage,47486
http://schema.org/OpeningHoursSpecification,46887
http://schema.org/NewsArticle,42450
http://schema.org/MusicGroup,38618
http://schema.org/Brand,37701
http://schema.org/RealEstateAgent,36861
http://schema.org/ItemPage,34700
http://schema.org/MusicRecording,32946
http://schema.org/JobPosting,32613
http://schema.org/ImageGallery,31194
http://schema.org/WPAdBlock,29541
http://schema.org/Store,27084
http://schema.org/MusicEvent,27069
http://schema.org/SoftwareApplication,23913
http://schema.org/AutoDealer,23762
http://schema.org/AudioObject,23165
http://schema.org/MusicAlbum,23088
http://schema.org/Comment,22795
http://schema.org/Hotel,20906
http://schema.org/ItemList,20217
http://schema.org/Corporation,19723
http://schema.org/Table,18345
http://schema.org/ContactPoint,18284
http://schema.org/AggregateOffer,17415
http://schema.org/MusicPlaylist,17317
http://schema.org/EducationalOrganization,16992
http://schema.org/Movie,16731
http://schema.org/ContactPage,15471
http://schema.org/WebPageElement,14545
http://schema.org/PriceSpecification,14528
http://schema.org/ItemCollection,14270
http://schema.org/AboutPage,14116
http://schema.org/ApartmentComplex,14073
http://schema.org/Book,14050
http://schema.org/Attorney,13765
http://schema.org/Map,13372
http://schema.org/Residence,11067
http://schema.org/Photograph,10809
http://schema.org/ProfessionalService,9642
http://schema.org/InStock,9157
http://schema.org/School,9137
http://schema.org/Dentist,8994
http://schema.org/SearchResultsPage,8525
http://schema.org/mainContentOfPage,8494
http://schema.org/NutritionInformation,7710
http://schema.org/QuantitativeValue,7263
http://schema.org/EducationEvent,6761
http://schema.org/EventVenue,6632
http://schema.org/SingleFamilyResidence,5867
http://schema.org/breadcrumb,5462
http://schema.org/Service,5358
http://schema.org/DayOfWeek,5071
http://schema.org/InsuranceAgency,4919
http://schema.org/localbusiness,4820
http://schema.org/FoodEstablishment,4806
http://schema.org/MediaObject,4803
http://schema.org/product,4649
http://schema.org/HomeAndConstructionBusiness,4442
http://schema.org/Breadcrumb,4345
http://schema.org/SomeProducts,4292
http://schema.org/Florist,4288
http://schema.org/AutoRepair,4238
http://schema.org/LodgingBusiness,3984
http://schema.org/TVSeries,3403
http://schema.org/VideoGallery,3290
http://schema.org/Physician,3233
http://schema.org/ClothingStore,3190
http://schema.org/CreativeWork/FormObject,3078
http://schema.org/URL,2956
http://schema.org/TVEpisode,2828
http://schema.org/ProductModel,2804
http://schema.org/LimitedAvailability,2730
https://schema.org/ImageObject,2685
http://schema.org/ItemAvailability,2654
http://schema.org/SportsEvent,2654
http://schema.org/GeneralContractor,2650
http://schema.org/AutomotiveBusiness,2614
http://schema.org/MusicVenue,2560
http://schema.org/BreadcrumbList,2459
http://schema.org/ListItem,2453
http://schema.org/TouristAttraction,2342
http://schema.org/Locksmith,2331
http://schema.org/address,2324
http://schema.org/Website,2309
http://schema.org/AutoPartsStore,2295
http://schema.org/OutOfStock,2269
http://schema.org/WebApplication,2222
http://schema.org/Question,2136
http://schema.org/HVACBusiness,2072
http://schema.org/webpage,2060
http://schema.org/Enumeration,2054
http://schema.org/HairSalon,2045
http://schema.org/MedicalOrganization,2013
http://schema.org/Car,1929
http://schema.org/Answer,1922
http://schema.org/GeoCordinates,1793
http://schema.org/Autodealer,1762
http://schema.org/HealthAndBeautyBusiness,1760
http://schema.org/Demand,1739
http://schema.org/Country,1679
http://schema.org/founders,1679
http://schema.org/SportingGoodsStore,1644
http://schema.org/TVSeason,1634
http://schema.org/aggregateRating,1591
http://schema.org/Plumber,1542
http://schema.org/MobileApplication,1538
http://schema.org/business,1510
http://schema.org/Page,1498
http://schema.org/TravelAgency,1490
http://schema.org/Offers,1458
https://schema.org/BlogPosting,1430
http://schema.org/BedAndBreakfast,1400
http://schema.org/City,1395
http://schema.org/AccountingService,1371
http://schema.org/MedicalClinic,1362
http://schema.org/CollegeOrUniversity,1354
http://schema.org/review,1343
http://schema.org/JewelryStore,1305
http://schema.org/Postaladdress,1299
http://schema.org/employees,1288
http://schema.org/SportsTeam,1274
http://schema.org/Vehicle,1267
http://schema.org/FinancialService,1249
http://schema.org/Text,1234
http://schema.org/TireShop,1193
http://schema.org/SelfStorage,1105
http://schema.org/WholesaleStore,1032
http://schema.org/GatedResidenceCommunity,1019
http://schema.org/BusinessEvent,1017
http://schema.org/PostalAdress,1011
http://schema.org/AutoRental,1009
http://schema.org/Room,1007
http://schema.org/MedicalSpecialty,1003
https://schema.org/Product,961
http://schema.org/HardwareStore,957
http://schema.org/Electrician,939
http://schema.org/HomeGoodsStore,935
https://schema.org/Offer,935
http://schema.org/Organisation,923
http://schema.org/GroceryStore,919
http://schema.org/EmailMessage,901
http://schema.org/VeterinaryCare,896
http://schema.org/GuestRoomAmenity,896
http://schema.org/Festival,877
http://schema.org/RoofingContractor,864
http://schema.org/Address,862
http://schema.org/FastFoodRestaurant,861
http://schema.org/FurnitureStore,855
http://schema.org/Pharmacy,838
http://schema.org/MedicalWebPage,781
http://schema.org/NameValueStructure,777
http://schema.org/MedicalCondition,767
http://schema.org/EntertainmentBusiness,762
http://schema.org/SaleEvent,762
http://schema.org/YoutubeChannelV2,752
http://schema.org/NGO,751
http://schema.org/SportsActivityLocation,736
http://schema.org/reviews,735
http://schema.org/Hospital,724
http://schema.org/TheaterEvent,717
http://schema.org/Dataset,699
http://schema.org/Department,695
http://schema.org/TechArticle,694
http://schema.org/BeautySalon,694
http://schema.org/brand,660
http://schema.org/Property,660
http://schema.org/HousePainter,651
http://schema.org/Language,635
http://schema.org/MovingCompany,635
https://schema.org/Article,631
http://schema.org/AdministrativeArea,631
http://schema.org/Listing,615
http://schema.org/GovernmentOrganization,614
http://schema.org/DanceEvent,596
http://schema.org/ComputerStore,574
http://schema.org/QAPage,552
http://schema.org/SocialEvent,549
http://schema.org/CreativeWork/DocumentObject,547
http://schema.org/MobileSoftwareApplication,546
http://schema.org/ElectronicStore,537
http://schema.org/PetStore,535
http://schema.org/UserCheckins,535
http://schema.org/People,511
http://schema.org/Audience,509
http://schema.org/aggregaterating,508
http://schema.org/Other,499
http://schema.org/Drug,497
http://schema.org/UserComment,493
http://schema.org/Distance,493
http://schema.org/BankOrCreditUnion,485
http://schema.org/logo,481
http://schema.org/HobbyShop,480
http://schema.org/Hostel,476
http://schema.org/recipe,466
http://schema.org/WPfooter,466
http://schema.org/AgeAudience,463
http://schema.org/HealthClub,459
http://schema.org/Product/,450
http://schema.org/ShoppingCenter,447
http://schema.org/DaySpa,446
http://schema.org/Painting,442
http://schema.org/Lyric,440
http://schema.org/State,436
http://schema.org/BlogPost,423
http://schema.org/BookStore,423
http://schema.org/CivicStructure,421
http://schema.org/CafeOrCoffeeShop,420
http://schema.org/CheckoutPage,413
http://schema.org/streetAddress,408
http://schema.org/OfferItemCondition,408
http://schema.org/BroadcastService,402
http://schema.org/MovieTheater,402
http://schema.org/MotorcycleDealer,393
http://schema.org/FoodEvent,391
http://schema.org/Review-aggregate,387
http://schema.org/videoobject,385
http://schema.org/ElectronicsStore,384
http://schema.org/Airport,382
http://schema.org/WarrantyPromise,381
http://schema.org/AutoBodyShop,381
http://schema.org/TouristInformationCenter,376
http://schema.org/ShoeStore,375
http://schema.org/ComedyEvent,365
http://schema.org/Motel,361
http://schema.org/VisualArtsEvent,357
http://schema.org/AdultEntertainment,355
http://schema.org/openingHoursSpecification,354
http://schema.org/WebFormHandler,352
http://schema.org/ArtGallery,343
http://schema.org/Optician,342
http://schema.org/ExerciseGym,340
http://schema.org/ToyStore,335
http://schema.org/makesOffer,334
http://schema.org/MedicalEntity,330
http://schema.org/MedicalProcedure,323
http://schema.org/MusicStore,322
http://schema.org/Testimonial,317
http://schema.org/LandmarksOrHistoricalBuildings,313
http://schema.org/MobilePhoneStore,312
http://schema.org/Ingredient,311
http://schema.org/ChildCare,311
http://schema.org/GardenStore,301
http://schema.org/ListenAction,299
http://schema.org/Bakery,296
http://schema.org/PeopleAudience,287
http://schema.org/Date,286
http://schema.org/Type,282
http://schema.org/RadioStation,280
http://schema.org/OfficeEquipmentStore,276
http://schema.org/BikeStore,276
http://schema.org/autopartsstore,275
http://schema.org/geo,274
http://schema.org/Code,274
http://schema.org/NightClub,272
http://schema.org/Chapter,272
http://schema.org/SiteNavigationElement/Pagination,271
http://schema.org/Campground,270
http://schema.org/Episode,268
http://schema.org/relatedLink,267
http://schema.org/Winery,267
http://schema.org/ChildrensEvent,267
http://schema.org/autorepair,266
http://schema.org/Church,265
http://schema.org/EmploymentAgency,263
http://schema.org/GolfCourse,261
http://schema.org/Game,258
http://schema.org/Services,253
http://schema.org/Series,249
http://schema.org/Novel,249
http://schema.org/company,248
http://schema.org/Intangible,247
http://schema.org/SportsClub,247
http://schema.org/StadiumOrArena,246
http://schema.org/DryCleaningOrLaundry,244
http://schema.org/result,243
http://schema.org/MedicalSymptom,239
http://schema.org/Movie/Subtitle,233
http://schema.org/PerformingGroup,233
http://schema.org/contactPoint,232
http://schema.org/thing,228
http://schema.org/DataDownload,226
http://schema.org/place,224
http://schema.org/GovernmentOffice,223
http://schema.org/UnitPriceSpecification,220
http://schema.org/Library,219
http://schema.org/MedicalTherapy,217
http://schema.org/Products,210
http://schema.org/SalesEvent,207
http://schema.org/rating,205
http://schema.org/SportStat/GamesPlayed,204
http://schema.org/SportsTeam/Soccer,204
http://schema.org/SportsAthlete/Soccer,202
http://schema.org/SportStat/Soccer/Goals,201
http://schema.org/LiquorStore,198
http://schema.org/NailSalon,195
http://schema.org/Intangible/FinancialQuote,193
http://schema.org/GasStation,190
http://schema.org/NewCondition,182
http://schema.org/movie,181
http://schema.org/Schedule,181
http://schema.org/Specialty,179
